checkpoint_id,scenario_id,category,branch,stage,history_mode,restart_phase,expected_kind,status,recorded_route_policy,memory_required,nominal_model_size,generation_policy,fallback_from_model,generation_call_count,requested_generation_models,actual_generation_models
cm01_correction_prestore,cm01,preference,correction,prestore,retained,before,uncertainty,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm01_correction_recalled,cm01,preference,correction,recalled,retained,before,original,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm01_correction_corrected_retained,cm01,preference,correction,corrected,retained,before,replacement,delivered,legacy,False,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm01_correction_corrected_fresh,cm01,preference,correction,corrected,fresh,before,replacement,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm01_correction_historical_retained,cm01,preference,correction,historical,retained,before,historical_control,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm01_correction_historical_fresh,cm01,preference,correction,historical,fresh,before,historical_control,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm01_correction_restart_retained,cm01,preference,correction,restart,retained,after,replacement,delivered,legacy,False,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm01_correction_restart_fresh,cm01,preference,correction,restart,fresh,after,replacement,delivered,legacy,False,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm01_correction_restart_historical_retained,cm01,preference,correction,restart_historical,retained,after,historical_control,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm01_correction_restart_historical_fresh,cm01,preference,correction,restart_historical,fresh,after,historical_control,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm01_deletion_recalled,cm01,preference,deletion,recalled,retained,before,original,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm01_deletion_deleted_retained,cm01,preference,deletion,deleted,retained,before,uncertainty,delivered,legacy,False,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm01_deletion_deleted_fresh,cm01,preference,deletion,deleted,fresh,before,uncertainty,delivered,legacy,True,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm01_deletion_deleted_historical_retained,cm01,preference,deletion,deleted_historical,retained,before,uncertainty,delivered,legacy,False,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm01_deletion_restart_retained,cm01,preference,deletion,restart,retained,after,uncertainty,delivered,legacy,False,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
cm01_deletion_restart_fresh,cm01,preference,deletion,restart,fresh,after,uncertainty,delivered,legacy,False,small,,,1,"[""qwen3:0.6b""]","[""qwen3:0.6b""]"
