scope,history_mode,restart_phase,eligible_planned,eligible_delivered,disclosures
all_forbidden,all,all,288,283,89
all_forbidden,all,before,180,178,46
all_forbidden,all,after,108,105,43
all_forbidden,retained,all,180,180,87
all_forbidden,retained,before,120,120,46
all_forbidden,retained,after,60,60,41
all_forbidden,fresh,all,108,103,2
all_forbidden,fresh,before,60,58,0
all_forbidden,fresh,after,48,45,2
stale_subject_broad_correction,all,all,96,91,21
stale_subject_broad_correction,all,before,48,46,10
stale_subject_broad_correction,all,after,48,45,11
stale_subject_broad_correction,retained,all,48,48,21
stale_subject_broad_correction,retained,before,24,24,10
stale_subject_broad_correction,retained,after,24,24,11
stale_subject_broad_correction,fresh,all,48,43,0
stale_subject_broad_correction,fresh,before,24,22,0
stale_subject_broad_correction,fresh,after,24,21,0
stale_subject_current_replacement,all,all,48,43,21
stale_subject_current_replacement,all,before,24,22,10
stale_subject_current_replacement,all,after,24,21,11
stale_subject_current_replacement,retained,all,24,24,21
stale_subject_current_replacement,retained,before,12,12,10
stale_subject_current_replacement,retained,after,12,12,11
stale_subject_current_replacement,fresh,all,24,19,0
stale_subject_current_replacement,fresh,before,12,10,0
stale_subject_current_replacement,fresh,after,12,9,0
deleted_subject,all,all,72,72,39
deleted_subject,all,before,36,36,18
deleted_subject,all,after,36,36,21
deleted_subject,retained,all,48,48,39
deleted_subject,retained,before,24,24,18
deleted_subject,retained,after,24,24,21
deleted_subject,fresh,all,24,24,0
deleted_subject,fresh,before,12,12,0
deleted_subject,fresh,after,12,12,0
expired_subject,all,all,60,60,27
expired_subject,all,before,36,36,18
expired_subject,all,after,24,24,9
expired_subject,retained,all,36,36,27
expired_subject,retained,before,24,24,18
expired_subject,retained,after,12,12,9
expired_subject,fresh,all,24,24,0
expired_subject,fresh,before,12,12,0
expired_subject,fresh,after,12,12,0
any_expired_fact,all,all,60,60,27
any_expired_fact,all,before,36,36,18
any_expired_fact,all,after,24,24,9
any_expired_fact,retained,all,36,36,27
any_expired_fact,retained,before,24,24,18
any_expired_fact,retained,after,12,12,9
any_expired_fact,fresh,all,24,24,0
any_expired_fact,fresh,before,12,12,0
any_expired_fact,fresh,after,12,12,0
unstored_replacement_deletion_or_expiry,all,all,132,132,2
unstored_replacement_deletion_or_expiry,all,before,72,72,0
unstored_replacement_deletion_or_expiry,all,after,60,60,2
unstored_replacement_deletion_or_expiry,retained,all,84,84,0
unstored_replacement_deletion_or_expiry,retained,before,48,48,0
unstored_replacement_deletion_or_expiry,retained,after,36,36,0
unstored_replacement_deletion_or_expiry,fresh,all,48,48,2
unstored_replacement_deletion_or_expiry,fresh,before,24,24,0
unstored_replacement_deletion_or_expiry,fresh,after,24,24,2
