checkpoint_id,generation_call_index,branch,history_mode,restart_phase,requested_model,actual_model,call_status
cm01_correction_prestore,0,correction,retained,before,qwen3:0.6b,qwen3:0.6b,ok
cm01_correction_recalled,0,correction,retained,before,qwen3:0.6b,qwen3:0.6b,ok
cm01_correction_corrected_retained,0,correction,retained,before,qwen3:0.6b,qwen3:0.6b,ok
cm01_correction_corrected_fresh,0,correction,fresh,before,qwen3:0.6b,qwen3:0.6b,ok
cm01_correction_historical_retained,0,correction,retained,before,qwen3:0.6b,qwen3:0.6b,ok
cm01_correction_historical_fresh,0,correction,fresh,before,qwen3:0.6b,qwen3:0.6b,ok
cm01_correction_restart_retained,0,correction,retained,after,qwen3:0.6b,qwen3:0.6b,ok
cm01_correction_restart_fresh,0,correction,fresh,after,qwen3:0.6b,qwen3:0.6b,ok
cm01_correction_restart_historical_retained,0,correction,retained,after,qwen3:0.6b,qwen3:0.6b,ok
cm01_correction_restart_historical_fresh,0,correction,fresh,after,qwen3:0.6b,qwen3:0.6b,ok
cm01_deletion_recalled,0,deletion,retained,before,qwen3:0.6b,qwen3:0.6b,ok
cm01_deletion_deleted_retained,0,deletion,retained,before,qwen3:0.6b,qwen3:0.6b,ok
cm01_deletion_deleted_fresh,0,deletion,fresh,before,qwen3:0.6b,qwen3:0.6b,ok
cm01_deletion_deleted_historical_retained,0,deletion,retained,before,qwen3:0.6b,qwen3:0.6b,ok
cm01_deletion_restart_retained,0,deletion,retained,after,qwen3:0.6b,qwen3:0.6b,ok
cm01_deletion_restart_fresh,0,deletion,fresh,after,qwen3:0.6b,qwen3:0.6b,ok
cm01_deletion_restart_historical_retained,0,deletion,retained,after,qwen3:0.6b,qwen3:0.6b,ok
cm01_expiry_before_retained,0,expiry,retained,before,qwen3:0.6b,qwen3:0.6b,ok
cm01_expiry_before_fresh,0,expiry,fresh,before,qwen3:0.6b,qwen3:0.6b,ok
cm01_expiry_at_retained,0,expiry,retained,before,qwen3:0.6b,qwen3:0.6b,ok
cm01_expiry_at_fresh,0,expiry,fresh,before,qwen3:0.6b,qwen3:0.6b,ok
