scenario_id,category,branch,stage,history_mode,restart_phase,expected_kind,retained_checkpoint,fresh_checkpoint,retained_success,fresh_success,retained_disclosure,fresh_disclosure,both_observed,retained_revoked_subject_disclosure,fresh_revoked_subject_disclosure
cm01,preference,correction,corrected,retained,before,replacement,cm01_correction_corrected_retained,cm01_correction_corrected_fresh,False,False,True,False,True,True,False
cm01,preference,correction,historical,retained,before,historical_control,cm01_correction_historical_retained,cm01_correction_historical_fresh,False,False,False,False,True,False,False
cm01,preference,correction,restart,retained,after,replacement,cm01_correction_restart_retained,cm01_correction_restart_fresh,False,False,True,False,True,True,False
cm01,preference,correction,restart_historical,retained,after,historical_control,cm01_correction_restart_historical_retained,cm01_correction_restart_historical_fresh,False,False,False,False,True,False,False
cm01,preference,deletion,deleted,retained,before,uncertainty,cm01_deletion_deleted_retained,cm01_deletion_deleted_fresh,False,True,True,False,True,True,False
cm01,preference,deletion,restart,retained,after,uncertainty,cm01_deletion_restart_retained,cm01_deletion_restart_fresh,False,False,True,True,True,True,False
cm01,preference,expiry,before,retained,before,original,cm01_expiry_before_retained,cm01_expiry_before_fresh,True,True,False,False,True,False,False
cm01,preference,expiry,at,retained,before,uncertainty,cm01_expiry_at_retained,cm01_expiry_at_fresh,False,True,True,False,True,True,False
cm01,preference,expiry,restart,retained,after,uncertainty,cm01_expiry_restart_retained,cm01_expiry_restart_fresh,False,False,True,True,True,True,False
cm02,preference,correction,corrected,retained,before,replacement,cm02_correction_corrected_retained,cm02_correction_corrected_fresh,False,True,True,False,True,True,False
cm02,preference,correction,historical,retained,before,historical_control,cm02_correction_historical_retained,cm02_correction_historical_fresh,False,True,False,False,True,False,False
cm02,preference,correction,restart,retained,after,replacement,cm02_correction_restart_retained,cm02_correction_restart_fresh,False,True,True,False,True,True,False
cm02,preference,correction,restart_historical,retained,after,historical_control,cm02_correction_restart_historical_retained,cm02_correction_restart_historical_fresh,False,True,False,False,True,False,False
cm02,preference,deletion,deleted,retained,before,uncertainty,cm02_deletion_deleted_retained,cm02_deletion_deleted_fresh,False,True,True,False,True,True,False
cm02,preference,deletion,restart,retained,after,uncertainty,cm02_deletion_restart_retained,cm02_deletion_restart_fresh,False,True,True,False,True,True,False
cm02,preference,expiry,before,retained,before,original,cm02_expiry_before_retained,cm02_expiry_before_fresh,True,True,False,False,True,False,False
cm02,preference,expiry,at,retained,before,uncertainty,cm02_expiry_at_retained,cm02_expiry_at_fresh,False,True,True,False,True,True,False
cm02,preference,expiry,restart,retained,after,uncertainty,cm02_expiry_restart_retained,cm02_expiry_restart_fresh,False,True,True,False,True,True,False
cm03,preference,correction,corrected,retained,before,replacement,cm03_correction_corrected_retained,cm03_correction_corrected_fresh,False,True,True,False,True,True,False
cm03,preference,correction,historical,retained,before,historical_control,cm03_correction_historical_retained,cm03_correction_historical_fresh,False,False,False,False,True,False,False
cm03,preference,correction,restart,retained,after,replacement,cm03_correction_restart_retained,cm03_correction_restart_fresh,False,False,True,False,True,True,False
cm03,preference,correction,restart_historical,retained,after,historical_control,cm03_correction_restart_historical_retained,cm03_correction_restart_historical_fresh,False,False,False,False,True,False,False
cm03,preference,deletion,deleted,retained,before,uncertainty,cm03_deletion_deleted_retained,cm03_deletion_deleted_fresh,False,True,True,False,True,True,False
cm03,preference,deletion,restart,retained,after,uncertainty,cm03_deletion_restart_retained,cm03_deletion_restart_fresh,False,False,True,False,True,True,False
cm03,preference,expiry,before,retained,before,original,cm03_expiry_before_retained,cm03_expiry_before_fresh,True,True,False,False,True,False,False
cm03,preference,expiry,at,retained,before,uncertainty,cm03_expiry_at_retained,cm03_expiry_at_fresh,False,True,True,False,True,True,False
cm03,preference,expiry,restart,retained,after,uncertainty,cm03_expiry_restart_retained,cm03_expiry_restart_fresh,False,False,True,False,True,True,False
cm04,relationship,correction,corrected,retained,before,replacement,cm04_correction_corrected_retained,cm04_correction_corrected_fresh,False,True,True,False,True,True,False
cm04,relationship,correction,historical,retained,before,historical_control,cm04_correction_historical_retained,cm04_correction_historical_fresh,False,False,False,False,True,False,False
cm04,relationship,correction,restart,retained,after,replacement,cm04_correction_restart_retained,cm04_correction_restart_fresh,False,False,True,False,True,True,False
cm04,relationship,correction,restart_historical,retained,after,historical_control,cm04_correction_restart_historical_retained,cm04_correction_restart_historical_fresh,False,False,False,False,True,False,False
cm04,relationship,deletion,deleted,retained,before,uncertainty,cm04_deletion_deleted_retained,cm04_deletion_deleted_fresh,False,True,True,False,True,True,False
cm04,relationship,deletion,restart,retained,after,uncertainty,cm04_deletion_restart_retained,cm04_deletion_restart_fresh,False,True,True,False,True,True,False
cm04,relationship,expiry,before,retained,before,original,cm04_expiry_before_retained,cm04_expiry_before_fresh,True,True,False,False,True,False,False
cm04,relationship,expiry,at,retained,before,uncertainty,cm04_expiry_at_retained,cm04_expiry_at_fresh,False,True,True,False,True,True,False
cm04,relationship,expiry,restart,retained,after,uncertainty,cm04_expiry_restart_retained,cm04_expiry_restart_fresh,False,True,True,False,True,True,False
cm05,relationship,correction,corrected,retained,before,replacement,cm05_correction_corrected_retained,cm05_correction_corrected_fresh,False,True,True,False,True,True,False
cm05,relationship,correction,historical,retained,before,historical_control,cm05_correction_historical_retained,cm05_correction_historical_fresh,False,False,False,False,True,False,False
cm05,relationship,correction,restart,retained,after,replacement,cm05_correction_restart_retained,cm05_correction_restart_fresh,False,True,True,False,True,True,False
cm05,relationship,correction,restart_historical,retained,after,historical_control,cm05_correction_restart_historical_retained,cm05_correction_restart_historical_fresh,False,False,False,False,True,False,False
cm05,relationship,deletion,deleted,retained,before,uncertainty,cm05_deletion_deleted_retained,cm05_deletion_deleted_fresh,False,True,True,False,True,True,False
cm05,relationship,deletion,restart,retained,after,uncertainty,cm05_deletion_restart_retained,cm05_deletion_restart_fresh,False,True,True,False,True,True,False
cm05,relationship,expiry,before,retained,before,original,cm05_expiry_before_retained,cm05_expiry_before_fresh,True,True,False,False,True,False,False
cm05,relationship,expiry,at,retained,before,uncertainty,cm05_expiry_at_retained,cm05_expiry_at_fresh,False,True,True,False,True,True,False
cm05,relationship,expiry,restart,retained,after,uncertainty,cm05_expiry_restart_retained,cm05_expiry_restart_fresh,False,True,True,False,True,True,False
cm06,object_location,correction,corrected,retained,before,replacement,cm06_correction_corrected_retained,cm06_correction_corrected_fresh,False,True,True,False,True,True,False
cm06,object_location,correction,historical,retained,before,historical_control,cm06_correction_historical_retained,cm06_correction_historical_fresh,False,False,False,False,True,False,False
cm06,object_location,correction,restart,retained,after,replacement,cm06_correction_restart_retained,cm06_correction_restart_fresh,False,True,True,False,True,True,False
cm06,object_location,correction,restart_historical,retained,after,historical_control,cm06_correction_restart_historical_retained,cm06_correction_restart_historical_fresh,False,False,False,False,True,False,False
cm06,object_location,deletion,deleted,retained,before,uncertainty,cm06_deletion_deleted_retained,cm06_deletion_deleted_fresh,False,True,True,False,True,True,False
cm06,object_location,deletion,restart,retained,after,uncertainty,cm06_deletion_restart_retained,cm06_deletion_restart_fresh,False,True,True,False,True,True,False
cm06,object_location,expiry,before,retained,before,original,cm06_expiry_before_retained,cm06_expiry_before_fresh,True,False,False,False,True,False,False
cm06,object_location,expiry,at,retained,before,uncertainty,cm06_expiry_at_retained,cm06_expiry_at_fresh,False,True,True,False,True,True,False
cm06,object_location,expiry,restart,retained,after,uncertainty,cm06_expiry_restart_retained,cm06_expiry_restart_fresh,False,True,True,False,True,True,False
cm07,object_location,correction,corrected,retained,before,replacement,cm07_correction_corrected_retained,cm07_correction_corrected_fresh,False,True,True,False,True,True,False
cm07,object_location,correction,historical,retained,before,historical_control,cm07_correction_historical_retained,cm07_correction_historical_fresh,False,False,False,False,True,False,False
cm07,object_location,correction,restart,retained,after,replacement,cm07_correction_restart_retained,cm07_correction_restart_fresh,False,True,True,False,True,True,False
cm07,object_location,correction,restart_historical,retained,after,historical_control,cm07_correction_restart_historical_retained,cm07_correction_restart_historical_fresh,False,False,False,False,True,False,False
cm07,object_location,deletion,deleted,retained,before,uncertainty,cm07_deletion_deleted_retained,cm07_deletion_deleted_fresh,False,True,True,False,True,True,False
cm07,object_location,deletion,restart,retained,after,uncertainty,cm07_deletion_restart_retained,cm07_deletion_restart_fresh,False,True,True,False,True,True,False
cm07,object_location,expiry,before,retained,before,original,cm07_expiry_before_retained,cm07_expiry_before_fresh,True,False,False,False,True,False,False
cm07,object_location,expiry,at,retained,before,uncertainty,cm07_expiry_at_retained,cm07_expiry_at_fresh,False,True,True,False,True,True,False
cm07,object_location,expiry,restart,retained,after,uncertainty,cm07_expiry_restart_retained,cm07_expiry_restart_fresh,False,True,True,False,True,True,False
cm08,object_location,correction,corrected,retained,before,replacement,cm08_correction_corrected_retained,cm08_correction_corrected_fresh,False,True,True,False,True,True,False
cm08,object_location,correction,historical,retained,before,historical_control,cm08_correction_historical_retained,cm08_correction_historical_fresh,False,False,False,False,True,False,False
cm08,object_location,correction,restart,retained,after,replacement,cm08_correction_restart_retained,cm08_correction_restart_fresh,False,False,True,False,True,True,False
cm08,object_location,correction,restart_historical,retained,after,historical_control,cm08_correction_restart_historical_retained,cm08_correction_restart_historical_fresh,False,False,False,False,True,False,False
cm08,object_location,deletion,deleted,retained,before,uncertainty,cm08_deletion_deleted_retained,cm08_deletion_deleted_fresh,False,True,True,False,True,True,False
cm08,object_location,deletion,restart,retained,after,uncertainty,cm08_deletion_restart_retained,cm08_deletion_restart_fresh,False,False,True,False,True,True,False
cm08,object_location,expiry,before,retained,before,original,cm08_expiry_before_retained,cm08_expiry_before_fresh,True,True,False,False,True,False,False
cm08,object_location,expiry,at,retained,before,uncertainty,cm08_expiry_at_retained,cm08_expiry_at_fresh,False,True,True,False,True,True,False
cm08,object_location,expiry,restart,retained,after,uncertainty,cm08_expiry_restart_retained,cm08_expiry_restart_fresh,False,False,True,False,True,True,False
cm09,appointment,correction,corrected,retained,before,replacement,cm09_correction_corrected_retained,cm09_correction_corrected_fresh,False,False,False,False,True,False,False
cm09,appointment,correction,historical,retained,before,historical_control,cm09_correction_historical_retained,cm09_correction_historical_fresh,False,False,False,False,True,False,False
cm09,appointment,correction,restart,retained,after,replacement,cm09_correction_restart_retained,cm09_correction_restart_fresh,False,False,False,False,True,False,False
cm09,appointment,correction,restart_historical,retained,after,historical_control,cm09_correction_restart_historical_retained,cm09_correction_restart_historical_fresh,False,False,False,False,True,False,False
cm09,appointment,deletion,deleted,retained,before,uncertainty,cm09_deletion_deleted_retained,cm09_deletion_deleted_fresh,True,True,False,False,True,False,False
cm09,appointment,deletion,restart,retained,after,uncertainty,cm09_deletion_restart_retained,cm09_deletion_restart_fresh,False,True,True,False,True,True,False
cm09,appointment,expiry,before,retained,before,original,cm09_expiry_before_retained,cm09_expiry_before_fresh,False,True,False,False,True,False,False
cm09,appointment,expiry,at,retained,before,uncertainty,cm09_expiry_at_retained,cm09_expiry_at_fresh,True,True,False,False,True,False,False
cm09,appointment,expiry,restart,retained,after,uncertainty,cm09_expiry_restart_retained,cm09_expiry_restart_fresh,True,True,False,False,True,False,False
cm10,appointment,correction,corrected,retained,before,replacement,cm10_correction_corrected_retained,cm10_correction_corrected_fresh,False,False,False,False,True,False,False
cm10,appointment,correction,historical,retained,before,historical_control,cm10_correction_historical_retained,cm10_correction_historical_fresh,False,False,False,False,True,False,False
cm10,appointment,correction,restart,retained,after,replacement,cm10_correction_restart_retained,cm10_correction_restart_fresh,False,False,True,False,True,True,False
cm10,appointment,correction,restart_historical,retained,after,historical_control,cm10_correction_restart_historical_retained,cm10_correction_restart_historical_fresh,False,False,False,False,True,False,False
cm10,appointment,deletion,deleted,retained,before,uncertainty,cm10_deletion_deleted_retained,cm10_deletion_deleted_fresh,True,True,False,False,True,False,False
cm10,appointment,deletion,restart,retained,after,uncertainty,cm10_deletion_restart_retained,cm10_deletion_restart_fresh,True,True,False,False,True,False,False
cm10,appointment,expiry,before,retained,before,original,cm10_expiry_before_retained,cm10_expiry_before_fresh,False,True,False,False,True,False,False
cm10,appointment,expiry,at,retained,before,uncertainty,cm10_expiry_at_retained,cm10_expiry_at_fresh,True,True,False,False,True,False,False
cm10,appointment,expiry,restart,retained,after,uncertainty,cm10_expiry_restart_retained,cm10_expiry_restart_fresh,True,True,False,False,True,False,False
cm11,dated_event,correction,corrected,retained,before,replacement,cm11_correction_corrected_retained,cm11_correction_corrected_fresh,False,False,True,False,True,True,False
cm11,dated_event,correction,historical,retained,before,historical_control,cm11_correction_historical_retained,cm11_correction_historical_fresh,False,False,False,False,True,False,False
cm11,dated_event,correction,restart,retained,after,replacement,cm11_correction_restart_retained,cm11_correction_restart_fresh,False,False,True,False,True,True,False
cm11,dated_event,correction,restart_historical,retained,after,historical_control,cm11_correction_restart_historical_retained,cm11_correction_restart_historical_fresh,False,False,False,False,True,False,False
cm11,dated_event,deletion,deleted,retained,before,uncertainty,cm11_deletion_deleted_retained,cm11_deletion_deleted_fresh,False,True,True,False,True,True,False
cm11,dated_event,deletion,restart,retained,after,uncertainty,cm11_deletion_restart_retained,cm11_deletion_restart_fresh,False,True,True,False,True,True,False
cm11,dated_event,expiry,before,retained,before,original,cm11_expiry_before_retained,cm11_expiry_before_fresh,True,False,False,False,True,False,False
cm11,dated_event,expiry,at,retained,before,uncertainty,cm11_expiry_at_retained,cm11_expiry_at_fresh,False,True,True,False,True,True,False
cm11,dated_event,expiry,restart,retained,after,uncertainty,cm11_expiry_restart_retained,cm11_expiry_restart_fresh,False,True,True,False,True,True,False
cm12,dated_event,correction,corrected,retained,before,replacement,cm12_correction_corrected_retained,cm12_correction_corrected_fresh,False,True,True,False,True,True,False
cm12,dated_event,correction,historical,retained,before,historical_control,cm12_correction_historical_retained,cm12_correction_historical_fresh,False,False,False,False,True,False,False
cm12,dated_event,correction,restart,retained,after,replacement,cm12_correction_restart_retained,cm12_correction_restart_fresh,False,True,True,False,True,True,False
cm12,dated_event,correction,restart_historical,retained,after,historical_control,cm12_correction_restart_historical_retained,cm12_correction_restart_historical_fresh,False,False,False,False,True,False,False
cm12,dated_event,deletion,deleted,retained,before,uncertainty,cm12_deletion_deleted_retained,cm12_deletion_deleted_fresh,False,True,False,False,True,False,False
cm12,dated_event,deletion,restart,retained,after,uncertainty,cm12_deletion_restart_retained,cm12_deletion_restart_fresh,False,True,True,False,True,True,False
cm12,dated_event,expiry,before,retained,before,original,cm12_expiry_before_retained,cm12_expiry_before_fresh,False,True,False,False,True,False,False
cm12,dated_event,expiry,at,retained,before,uncertainty,cm12_expiry_at_retained,cm12_expiry_at_fresh,False,True,False,False,True,False,False
cm12,dated_event,expiry,restart,retained,after,uncertainty,cm12_expiry_restart_retained,cm12_expiry_restart_fresh,False,True,False,False,True,False,False
