dimensions,group,scope,baseline_eligible_attempts,baseline_timed_attempts,baseline_missing_timing,baseline_median_seconds,baseline_p95_seconds,repair_eligible_attempts,repair_timed_attempts,repair_missing_timing,repair_median_seconds,repair_p95_seconds,delta_median_seconds,delta_p95_seconds
all,{},all_attempts,24,24,0,2.6325576605,12.340897805,24,24,0,2.760499736,12.647251669,0.12794207550000003,0.3063538639999983
all,{},delivered_only,22,22,0,2.572482054,11.831923612,24,24,0,2.760499736,12.647251669,0.1880176819999999,0.8153280569999986
branch,"{""branch"": ""correction""}",all_attempts,10,10,0,2.795254157,12.913551015,10,10,0,2.962555212,14.834327187,0.1673010549999998,1.920776172
branch,"{""branch"": ""correction""}",delivered_only,8,8,0,2.7580428365,11.831923612,10,10,0,2.962555212,14.834327187,0.2045123754999998,3.002403574999999
branch,"{""branch"": ""deletion""}",all_attempts,7,7,0,2.403996458,12.340897805,7,7,0,2.700970285,12.615554051,0.29697382699999997,0.27465624599999927
branch,"{""branch"": ""deletion""}",delivered_only,7,7,0,2.403996458,12.340897805,7,7,0,2.700970285,12.615554051,0.29697382699999997,0.27465624599999927
branch,"{""branch"": ""expiry""}",all_attempts,7,7,0,2.460594444,11.638228488,7,7,0,2.59127166,11.925533732,0.13067721600000004,0.28730524400000057
branch,"{""branch"": ""expiry""}",delivered_only,7,7,0,2.460594444,11.638228488,7,7,0,2.59127166,11.925533732,0.13067721600000004,0.28730524400000057
history_mode,"{""history_mode"": ""fresh""}",all_attempts,9,9,0,2.513243876,2.756910198,9,9,0,2.700482229,3.071612669,0.1872383529999997,0.31470247099999993
history_mode,"{""history_mode"": ""fresh""}",delivered_only,8,8,0,2.4869191600000002,2.682487557,9,9,0,2.700482229,3.071612669,0.21356306899999966,0.3891251119999999
history_mode,"{""history_mode"": ""retained""}",all_attempts,15,15,0,2.833598116,12.913551015,15,15,0,2.997803638,14.834327187,0.16420552200000005,1.920776172
history_mode,"{""history_mode"": ""retained""}",delivered_only,14,14,0,2.730828906,12.340897805,15,15,0,2.997803638,14.834327187,0.266974732,2.4934293819999986
after_restart,"{""after_restart"": false}",all_attempts,15,15,0,2.516904412,11.831923612,15,15,0,2.614453897,12.647251669,0.09754948500000005,0.8153280569999986
after_restart,"{""after_restart"": false}",delivered_only,15,15,0,2.516904412,11.831923612,15,15,0,2.614453897,12.647251669,0.09754948500000005,0.8153280569999986
after_restart,"{""after_restart"": true}",all_attempts,9,9,0,2.756910198,12.913551015,9,9,0,3.071612669,14.834327187,0.31470247099999993,1.920776172
after_restart,"{""after_restart"": true}",delivered_only,7,7,0,2.662840791,12.340897805,9,9,0,3.071612669,14.834327187,0.40877187800000003,2.4934293819999986
expected_kind,"{""expected_kind"": ""historical_control""}",all_attempts,4,4,0,2.7580428365,2.89247708,4,4,0,2.843375123,2.997803638,0.08533228649999991,0.10532655800000024
expected_kind,"{""expected_kind"": ""historical_control""}",delivered_only,4,4,0,2.7580428365,2.89247708,4,4,0,2.843375123,2.997803638,0.08533228649999991,0.10532655800000024
expected_kind,"{""expected_kind"": ""original""}",all_attempts,4,4,0,2.4830010285,2.937534046,4,4,0,2.649141332,3.27439623,0.1661403035000002,0.3368621839999997
expected_kind,"{""expected_kind"": ""original""}",delivered_only,4,4,0,2.4830010285,2.937534046,4,4,0,2.649141332,3.27439623,0.1661403035000002,0.3368621839999997
expected_kind,"{""expected_kind"": ""replacement""}",all_attempts,4,4,0,2.8568343704999997,12.913551015,4,4,0,3.1430655224999997,14.834327187,0.28623115200000004,1.920776172
expected_kind,"{""expected_kind"": ""replacement""}",delivered_only,2,2,0,2.796907084,2.956758543,4,4,0,3.1430655224999997,14.834327187,0.34615843849999983,11.877568644
expected_kind,"{""expected_kind"": ""uncertainty""}",all_attempts,12,12,0,2.485308423,12.340897805,12,12,0,2.7312631485,12.647251669,0.24595472549999986,0.3063538639999983
expected_kind,"{""expected_kind"": ""uncertainty""}",delivered_only,12,12,0,2.485308423,12.340897805,12,12,0,2.7312631485,12.647251669,0.24595472549999986,0.3063538639999983
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""fresh""}",all_attempts,4,4,0,2.672664174,2.756910198,4,4,0,2.7299628445,3.071612669,0.05729867050000026,0.31470247099999993
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""fresh""}",delivered_only,3,3,0,2.662840791,2.682487557,4,4,0,2.7299628445,3.071612669,0.06712205350000033,0.3891251119999999
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""retained""}",all_attempts,6,6,0,2.9246178115,12.913551015,6,6,0,3.106161007,14.834327187,0.18154319549999975,1.920776172
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""retained""}",delivered_only,5,5,0,2.89247708,11.831923612,6,6,0,3.106161007,14.834327187,0.21368392699999994,3.002403574999999
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""fresh""}",all_attempts,2,2,0,2.3889603,2.513243876,2,2,0,2.618056515,2.902795511,0.22909621500000021,0.3895516349999997
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""fresh""}",delivered_only,2,2,0,2.3889603,2.513243876,2,2,0,2.618056515,2.902795511,0.22909621500000021,0.3895516349999997
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""retained""}",all_attempts,5,5,0,2.403996458,12.340897805,5,5,0,2.700970285,12.615554051,0.29697382699999997,0.27465624599999927
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""retained""}",delivered_only,5,5,0,2.403996458,12.340897805,5,5,0,2.700970285,12.615554051,0.29697382699999997,0.27465624599999927
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""fresh""}",all_attempts,3,3,0,2.45737297,2.460594444,3,3,0,2.59127166,2.761556012,0.13389868999999965,0.30096156799999996
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""fresh""}",delivered_only,3,3,0,2.45737297,2.460594444,3,3,0,2.59127166,2.761556012,0.13389868999999965,0.30096156799999996
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""retained""}",all_attempts,4,4,0,2.727219229,11.638228488,4,4,0,2.890804705,11.925533732,0.16358547599999973,0.28730524400000057
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""retained""}",delivered_only,4,4,0,2.727219229,11.638228488,4,4,0,2.890804705,11.925533732,0.16358547599999973,0.28730524400000057
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""correction"", ""history_mode"": ""fresh""}",all_attempts,2,2,0,2.659771591,2.682487557,2,2,0,2.6362176875,2.700482229,-0.023553903500000306,0.017994671999999934
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""correction"", ""history_mode"": ""fresh""}",delivered_only,2,2,0,2.659771591,2.682487557,2,2,0,2.6362176875,2.700482229,-0.023553903500000306,0.017994671999999934
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""correction"", ""history_mode"": ""retained""}",all_attempts,4,4,0,2.8951783295,11.831923612,4,4,0,3.070912581,12.647251669,0.17573425149999977,0.8153280569999986
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""correction"", ""history_mode"": ""retained""}",delivered_only,4,4,0,2.8951783295,11.831923612,4,4,0,3.070912581,12.647251669,0.17573425149999977,0.8153280569999986
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""correction"", ""history_mode"": ""fresh""}",all_attempts,2,2,0,2.7098754945,2.756910198,2,2,0,2.9155280645,3.071612669,0.20565257000000026,0.31470247099999993
