dimensions,group,scope,baseline_eligible_attempts,baseline_timed_attempts,baseline_missing_timing,baseline_median_seconds,baseline_p95_seconds,repair_eligible_attempts,repair_timed_attempts,repair_missing_timing,repair_median_seconds,repair_p95_seconds,delta_median_seconds,delta_p95_seconds
all,{},all_attempts,24,24,0,2.84570834,12.103821007,24,24,0,2.760499736,12.647251669,-0.08520860399999997,0.5434306619999987
all,{},delivered_only,23,23,0,2.81531097,12.103821007,24,24,0,2.760499736,12.647251669,-0.05481123400000021,0.5434306619999987
branch,"{""branch"": ""correction""}",all_attempts,10,10,0,3.3828209725000002,12.691197327,10,10,0,2.962555212,14.834327187,-0.4202657605000004,2.14312986
branch,"{""branch"": ""correction""}",delivered_only,9,9,0,3.35291128,12.691197327,10,10,0,2.962555212,14.834327187,-0.390356068,2.14312986
branch,"{""branch"": ""deletion""}",all_attempts,7,7,0,2.408178272,12.00195706,7,7,0,2.700970285,12.615554051,0.29279201300000013,0.6135969909999996
branch,"{""branch"": ""deletion""}",delivered_only,7,7,0,2.408178272,12.00195706,7,7,0,2.700970285,12.615554051,0.29279201300000013,0.6135969909999996
branch,"{""branch"": ""expiry""}",all_attempts,7,7,0,2.320683132,12.103821007,7,7,0,2.59127166,11.925533732,0.2705885279999998,-0.17828727500000063
branch,"{""branch"": ""expiry""}",delivered_only,7,7,0,2.320683132,12.103821007,7,7,0,2.59127166,11.925533732,0.2705885279999998,-0.17828727500000063
history_mode,"{""history_mode"": ""fresh""}",all_attempts,9,9,0,2.87610571,4.023008307,9,9,0,2.700482229,3.071612669,-0.17562348100000014,-0.9513956379999997
history_mode,"{""history_mode"": ""fresh""}",delivered_only,8,8,0,2.84570834,3.603830675,9,9,0,2.700482229,3.071612669,-0.14522611099999994,-0.5322180060000004
history_mode,"{""history_mode"": ""retained""}",all_attempts,15,15,0,2.789150885,12.691197327,15,15,0,2.997803638,14.834327187,0.20865275299999997,2.14312986
history_mode,"{""history_mode"": ""retained""}",delivered_only,15,15,0,2.789150885,12.691197327,15,15,0,2.997803638,14.834327187,0.20865275299999997,2.14312986
