dimensions,group,system,checkpoint_attempts,model_metadata_missing,checkpoints_with_no_returned_generator_model,actual_generator_calls,actual_generator_model_calls
all,{},baseline,96,0,0,96,"{""qwen3:0.6b"": 85, ""qwen3:1.7b"": 11}"
all,{},repair,96,0,0,96,"{""qwen3:0.6b"": 89, ""qwen3:1.7b"": 7}"
branch,"{""branch"": ""correction""}",baseline,40,0,0,40,"{""qwen3:0.6b"": 37, ""qwen3:1.7b"": 3}"
branch,"{""branch"": ""correction""}",repair,40,0,0,40,"{""qwen3:0.6b"": 38, ""qwen3:1.7b"": 2}"
branch,"{""branch"": ""deletion""}",baseline,28,0,0,28,"{""qwen3:0.6b"": 25, ""qwen3:1.7b"": 3}"
branch,"{""branch"": ""deletion""}",repair,28,0,0,28,"{""qwen3:0.6b"": 26, ""qwen3:1.7b"": 2}"
branch,"{""branch"": ""expiry""}",baseline,28,0,0,28,"{""qwen3:0.6b"": 23, ""qwen3:1.7b"": 5}"
branch,"{""branch"": ""expiry""}",repair,28,0,0,28,"{""qwen3:0.6b"": 25, ""qwen3:1.7b"": 3}"
history_mode,"{""history_mode"": ""fresh""}",baseline,36,0,0,36,"{""qwen3:0.6b"": 29, ""qwen3:1.7b"": 7}"
history_mode,"{""history_mode"": ""fresh""}",repair,36,0,0,36,"{""qwen3:0.6b"": 29, ""qwen3:1.7b"": 7}"
history_mode,"{""history_mode"": ""retained""}",baseline,60,0,0,60,"{""qwen3:0.6b"": 56, ""qwen3:1.7b"": 4}"
history_mode,"{""history_mode"": ""retained""}",repair,60,0,0,60,"{""qwen3:0.6b"": 60}"
after_restart,"{""after_restart"": false}",baseline,60,0,0,60,"{""qwen3:0.6b"": 54, ""qwen3:1.7b"": 6}"
after_restart,"{""after_restart"": false}",repair,60,0,0,60,"{""qwen3:0.6b"": 56, ""qwen3:1.7b"": 4}"
after_restart,"{""after_restart"": true}",baseline,36,0,0,36,"{""qwen3:0.6b"": 31, ""qwen3:1.7b"": 5}"
after_restart,"{""after_restart"": true}",repair,36,0,0,36,"{""qwen3:0.6b"": 33, ""qwen3:1.7b"": 3}"
expected_kind,"{""expected_kind"": ""historical_control""}",baseline,16,0,0,16,"{""qwen3:0.6b"": 16}"
expected_kind,"{""expected_kind"": ""historical_control""}",repair,16,0,0,16,"{""qwen3:0.6b"": 16}"
expected_kind,"{""expected_kind"": ""original""}",baseline,16,0,0,16,"{""qwen3:0.6b"": 15, ""qwen3:1.7b"": 1}"
expected_kind,"{""expected_kind"": ""original""}",repair,16,0,0,16,"{""qwen3:0.6b"": 15, ""qwen3:1.7b"": 1}"
expected_kind,"{""expected_kind"": ""replacement""}",baseline,16,0,0,16,"{""qwen3:0.6b"": 13, ""qwen3:1.7b"": 3}"
expected_kind,"{""expected_kind"": ""replacement""}",repair,16,0,0,16,"{""qwen3:0.6b"": 14, ""qwen3:1.7b"": 2}"
expected_kind,"{""expected_kind"": ""uncertainty""}",baseline,48,0,0,48,"{""qwen3:0.6b"": 41, ""qwen3:1.7b"": 7}"
expected_kind,"{""expected_kind"": ""uncertainty""}",repair,48,0,0,48,"{""qwen3:0.6b"": 44, ""qwen3:1.7b"": 4}"
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""fresh""}",baseline,16,0,0,16,"{""qwen3:0.6b"": 14, ""qwen3:1.7b"": 2}"
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""fresh""}",repair,16,0,0,16,"{""qwen3:0.6b"": 14, ""qwen3:1.7b"": 2}"
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""retained""}",baseline,24,0,0,24,"{""qwen3:0.6b"": 23, ""qwen3:1.7b"": 1}"
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""retained""}",repair,24,0,0,24,"{""qwen3:0.6b"": 24}"
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""fresh""}",baseline,8,0,0,8,"{""qwen3:0.6b"": 6, ""qwen3:1.7b"": 2}"
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""fresh""}",repair,8,0,0,8,"{""qwen3:0.6b"": 6, ""qwen3:1.7b"": 2}"
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""retained""}",baseline,20,0,0,20,"{""qwen3:0.6b"": 19, ""qwen3:1.7b"": 1}"
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""retained""}",repair,20,0,0,20,"{""qwen3:0.6b"": 20}"
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""fresh""}",baseline,12,0,0,12,"{""qwen3:0.6b"": 9, ""qwen3:1.7b"": 3}"
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""fresh""}",repair,12,0,0,12,"{""qwen3:0.6b"": 9, ""qwen3:1.7b"": 3}"
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""retained""}",baseline,16,0,0,16,"{""qwen3:0.6b"": 14, ""qwen3:1.7b"": 2}"
