dimensions,group,baseline_planned,repair_planned,delta_planned,baseline_delivered,repair_delivered,delta_delivered,baseline_useful_correct,repair_useful_correct,delta_useful_correct,baseline_forbidden_disclosure,repair_forbidden_disclosure,delta_forbidden_disclosure,baseline_revoked_original_disclosure,repair_revoked_original_disclosure,delta_revoked_original_disclosure,baseline_unstored_replacement_disclosure,repair_unstored_replacement_disclosure,delta_unstored_replacement_disclosure,baseline_withheld,repair_withheld,delta_withheld,baseline_interrupted,repair_interrupted,delta_interrupted,baseline_missing,repair_missing,delta_missing
all,{},96,96,0,93,94,1,39,92,53,30,0,-30,28,0,-28,2,0,-2,3,2,-1,0,0,0,0,0,0
branch,"{""branch"": ""correction""}",40,40,0,37,38,1,10,36,26,6,0,-6,6,0,-6,0,0,0,3,2,-1,0,0,0,0,0,0
branch,"{""branch"": ""deletion""}",28,28,0,28,28,0,13,28,15,14,0,-14,13,0,-13,1,0,-1,0,0,0,0,0,0,0,0,0
branch,"{""branch"": ""expiry""}",28,28,0,28,28,0,16,28,12,10,0,-10,9,0,-9,1,0,-1,0,0,0,0,0,0,0,0,0
history_mode,"{""history_mode"": ""fresh""}",36,36,0,33,35,2,20,34,14,2,0,-2,0,0,0,2,0,-2,3,1,-2,0,0,0,0,0,0
history_mode,"{""history_mode"": ""retained""}",60,60,0,60,59,-1,19,58,39,28,0,-28,28,0,-28,0,0,0,0,1,1,0,0,0,0,0,0
after_restart,"{""after_restart"": false}",60,60,0,59,60,1,30,58,28,15,0,-15,15,0,-15,0,0,0,1,0,-1,0,0,0,0,0,0
after_restart,"{""after_restart"": true}",36,36,0,34,34,0,9,34,25,15,0,-15,13,0,-13,2,0,-2,2,2,0,0,0,0,0,0,0
expected_kind,"{""expected_kind"": ""historical_control""}",16,16,0,16,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
expected_kind,"{""expected_kind"": ""original""}",16,16,0,16,16,0,12,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
expected_kind,"{""expected_kind"": ""replacement""}",16,16,0,13,14,1,3,12,9,6,0,-6,6,0,-6,0,0,0,3,2,-1,0,0,0,0,0,0
expected_kind,"{""expected_kind"": ""uncertainty""}",48,48,0,48,48,0,24,48,24,24,0,-24,22,0,-22,2,0,-2,0,0,0,0,0,0,0,0,0
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""fresh""}",16,16,0,13,15,2,3,14,11,0,0,0,0,0,0,0,0,0,3,1,-2,0,0,0,0,0,0
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""retained""}",24,24,0,24,23,-1,7,22,15,6,0,-6,6,0,-6,0,0,0,0,1,1,0,0,0,0,0,0
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""fresh""}",8,8,0,8,8,0,7,8,1,1,0,-1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""retained""}",20,20,0,20,20,0,6,20,14,13,0,-13,13,0,-13,0,0,0,0,0,0,0,0,0,0,0,0
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""fresh""}",12,12,0,12,12,0,10,12,2,1,0,-1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""retained""}",16,16,0,16,16,0,6,16,10,9,0,-9,9,0,-9,0,0,0,0,0,0,0,0,0,0,0,0
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""correction"", ""history_mode"": ""fresh""}",8,8,0,7,8,1,2,7,5,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""correction"", ""history_mode"": ""retained""}",16,16,0,16,16,0,7,15,8,3,0,-3,3,0,-3,0,0,0,0,0,0,0,0,0,0,0,0
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""correction"", ""history_mode"": ""fresh""}",8,8,0,6,7,1,1,7,6,0,0,0,0,0,0,0,0,0,2,1,-1,0,0,0,0,0,0
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""correction"", ""history_mode"": ""retained""}",8,8,0,8,7,-1,0,7,7,3,0,-3,3,0,-3,0,0,0,0,1,1,0,0,0,0,0,0
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""deletion"", ""history_mode"": ""fresh""}",4,4,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""deletion"", ""history_mode"": ""retained""}",12,12,0,12,12,0,5,12,7,6,0,-6,6,0,-6,0,0,0,0,0,0,0,0,0,0,0,0
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""deletion"", ""history_mode"": ""fresh""}",4,4,0,4,4,0,3,4,1,1,0,-1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""deletion"", ""history_mode"": ""retained""}",8,8,0,8,8,0,1,8,7,7,0,-7,7,0,-7,0,0,0,0,0,0,0,0,0,0,0,0
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""expiry"", ""history_mode"": ""fresh""}",8,8,0,8,8,0,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""expiry"", ""history_mode"": ""retained""}",12,12,0,12,12,0,5,12,7,6,0,-6,6,0,-6,0,0,0,0,0,0,0,0,0,0,0,0
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""expiry"", ""history_mode"": ""fresh""}",4,4,0,4,4,0,3,4,1,1,0,-1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""expiry"", ""history_mode"": ""retained""}",4,4,0,4,4,0,1,4,3,3,0,-3,3,0,-3,0,0,0,0,0,0,0,0,0,0,0,0
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""historical_control"", ""history_mode"": ""fresh""}",4,4,0,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""historical_control"", ""history_mode"": ""retained""}",4,4,0,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
