dimensions,group,scope,baseline_eligible_attempts,baseline_timed_attempts,baseline_missing_timing,baseline_median_seconds,baseline_p95_seconds,repair_eligible_attempts,repair_timed_attempts,repair_missing_timing,repair_median_seconds,repair_p95_seconds,delta_median_seconds,delta_p95_seconds
all,{},all_attempts,96,96,0,3.1104075585000004,48.32670764,96,96,0,2.938967221,36.484219227,-0.17144033750000043,-11.842488413000005
all,{},delivered_only,93,93,0,3.00499913,44.210858004,94,94,0,2.938967221,36.484219227,-0.06603190899999989,-7.726638777000005
branch,"{""branch"": ""correction""}",all_attempts,40,40,0,3.305124695,44.804828001,40,40,0,2.9642334879999996,13.637213601,-0.3408912070000003,-31.167614399999998
branch,"{""branch"": ""correction""}",delivered_only,37,37,0,3.272257,14.101895957,38,38,0,2.9642334879999996,38.228414619,-0.30802351200000055,24.126518662
branch,"{""branch"": ""deletion""}",all_attempts,28,28,0,2.689882744,43.033391884,28,28,0,2.7252439945,36.484219227,0.03536125049999983,-6.549172657
branch,"{""branch"": ""deletion""}",delivered_only,28,28,0,2.689882744,43.033391884,28,28,0,2.7252439945,36.484219227,0.03536125049999983,-6.549172657
branch,"{""branch"": ""expiry""}",all_attempts,28,28,0,2.6659446840000003,48.32670764,28,28,0,2.9468966285000002,36.380518202,0.28095194449999994,-11.946189438000005
branch,"{""branch"": ""expiry""}",delivered_only,28,28,0,2.6659446840000003,48.32670764,28,28,0,2.9468966285000002,36.380518202,0.28095194449999994,-11.946189438000005
history_mode,"{""history_mode"": ""fresh""}",all_attempts,36,36,0,3.1104075585000004,56.474455638,36,36,0,2.722306356,42.789599678,-0.3881012025000006,-13.68485596
history_mode,"{""history_mode"": ""fresh""}",delivered_only,33,33,0,3.00499913,48.32670764,35,35,0,2.707331729,42.789599678,-0.297667401,-5.537107962
history_mode,"{""history_mode"": ""retained""}",all_attempts,60,60,0,3.0878976225,42.981157754,60,60,0,3.073897698,13.257597021,-0.01399992449999976,-29.723560733
history_mode,"{""history_mode"": ""retained""}",delivered_only,60,60,0,3.0878976225,42.981157754,59,59,0,3.057414735,13.3544397,-0.030482887499999833,-29.626718054
after_restart,"{""after_restart"": false}",all_attempts,60,60,0,2.751225558,42.981157754,60,60,0,2.8464535125,36.380518202,0.09522795450000032,-6.600639552000004
after_restart,"{""after_restart"": false}",delivered_only,59,59,0,2.713300231,42.981157754,60,60,0,2.8464535125,36.380518202,0.13315328150000028,-6.600639552000004
after_restart,"{""after_restart"": true}",all_attempts,36,36,0,4.2877950904999995,60.901049461,36,36,0,3.1224999725,42.789599678,-1.1652951179999995,-18.111449782999998
after_restart,"{""after_restart"": true}",delivered_only,34,34,0,4.2877950904999995,60.901049461,34,34,0,3.1224999725,42.789599678,-1.1652951179999995,-18.111449782999998
expected_kind,"{""expected_kind"": ""historical_control""}",all_attempts,16,16,0,3.305124695,13.586551015,16,16,0,2.7282134339999997,13.417645387,-0.5769112610000002,-0.1689056279999992
expected_kind,"{""expected_kind"": ""historical_control""}",delivered_only,16,16,0,3.305124695,13.586551015,16,16,0,2.7282134339999997,13.417645387,-0.5769112610000002,-0.1689056279999992
expected_kind,"{""expected_kind"": ""original""}",all_attempts,16,16,0,2.751225558,38.253084282,16,16,0,2.9439623915000004,37.891207879,0.1927368335000006,-0.3618764030000037
expected_kind,"{""expected_kind"": ""original""}",delivered_only,16,16,0,2.751225558,38.253084282,16,16,0,2.9439623915000004,37.891207879,0.1927368335000006,-0.3618764030000037
expected_kind,"{""expected_kind"": ""replacement""}",all_attempts,16,16,0,3.5140037184999997,62.917425293,16,16,0,3.124863725,42.789599678,-0.3891399934999997,-20.127825615
expected_kind,"{""expected_kind"": ""replacement""}",delivered_only,13,13,0,2.825060276,62.917425293,14,14,0,3.124863725,42.789599678,0.2998034490000001,-20.127825615
expected_kind,"{""expected_kind"": ""uncertainty""}",all_attempts,48,48,0,2.695429228,48.32670764,48,48,0,2.920662101,36.380518202,0.22523287299999994,-11.946189438000005
expected_kind,"{""expected_kind"": ""uncertainty""}",delivered_only,48,48,0,2.695429228,48.32670764,48,48,0,2.920662101,36.380518202,0.22523287299999994,-11.946189438000005
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""fresh""}",all_attempts,16,16,0,3.203350305,56.474455638,16,16,0,2.739333066,42.789599678,-0.4640172389999999,-13.68485596
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""fresh""}",delivered_only,13,13,0,3.156265938,4.233077601,15,15,0,2.737280983,42.789599678,-0.41898495500000044,38.556522077000004
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""retained""}",all_attempts,24,24,0,3.403646015,14.101895957,24,24,0,3.2621239600000003,13.417645387,-0.1415220549999998,-0.6842505699999997
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""retained""}",delivered_only,24,24,0,3.403646015,14.101895957,23,23,0,3.122088796,13.417645387,-0.2815572190000002,-0.6842505699999997
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""fresh""}",all_attempts,8,8,0,3.0572559855,60.901049461,8,8,0,2.69049225,50.394988257,-0.36676373549999974,-10.506061203999998
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""fresh""}",delivered_only,8,8,0,3.0572559855,60.901049461,8,8,0,2.69049225,50.394988257,-0.36676373549999974,-10.506061203999998
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""retained""}",all_attempts,20,20,0,2.498218791,13.053027652,20,20,0,2.8141106255,12.759435134,0.3158918344999999,-0.2935925180000005
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""retained""}",delivered_only,20,20,0,2.498218791,13.053027652,20,20,0,2.8141106255,12.759435134,0.3158918344999999,-0.2935925180000005
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""fresh""}",all_attempts,12,12,0,2.6947495495,48.32670764,12,12,0,2.688666468,37.891207879,-0.0060830814999999205,-10.435499761000003
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""fresh""}",delivered_only,12,12,0,2.6947495495,48.32670764,12,12,0,2.688666468,37.891207879,-0.0060830814999999205,-10.435499761000003
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""retained""}",all_attempts,16,16,0,2.2880987635,50.015780301,16,16,0,3.2884737834999997,12.5042813,1.00037502,-37.511499001
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""retained""}",delivered_only,16,16,0,2.2880987635,50.015780301,16,16,0,3.2884737834999997,12.5042813,1.00037502,-37.511499001
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""correction"", ""history_mode"": ""fresh""}",all_attempts,8,8,0,3.1868025400000004,44.804828001,8,8,0,2.6825052805,38.228414619,-0.5042972595000004,-6.576413381999998
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""correction"", ""history_mode"": ""fresh""}",delivered_only,7,7,0,3.156265938,3.535167798,8,8,0,2.6825052805,38.228414619,-0.4737606575000002,34.693246821
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""correction"", ""history_mode"": ""retained""}",all_attempts,16,16,0,3.2880054364999998,14.101895957,16,16,0,3.1062347285,13.184775991,-0.18177070799999973,-0.9171199659999996
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""correction"", ""history_mode"": ""retained""}",delivered_only,16,16,0,3.2880054364999998,14.101895957,16,16,0,3.1062347285,13.184775991,-0.18177070799999973,-0.9171199659999996
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""correction"", ""history_mode"": ""fresh""}",all_attempts,8,8,0,3.2152073574999998,56.474455638,8,8,0,2.7491476735,42.789599678,-0.46605968399999975,-13.68485596
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""correction"", ""history_mode"": ""fresh""}",delivered_only,6,6,0,3.161275011,4.233077601,7,7,0,2.741385149,42.789599678,-0.4198898619999998,38.556522077000004
