scenario_id,category,branch,stage,history_mode,restart_phase,expected_kind,retained_checkpoint,fresh_checkpoint,retained_success,fresh_success,retained_disclosure,fresh_disclosure,both_observed,retained_revoked_subject_disclosure,fresh_revoked_subject_disclosure
cm01,preference,correction,corrected,retained,before,replacement,cm01_correction_corrected_retained,cm01_correction_corrected_fresh,False,False,False,False,True,False,False
cm01,preference,correction,historical,retained,before,historical_control,cm01_correction_historical_retained,cm01_correction_historical_fresh,True,True,False,False,True,False,False
cm01,preference,correction,restart,retained,after,replacement,cm01_correction_restart_retained,cm01_correction_restart_fresh,True,True,False,False,True,False,False
cm01,preference,correction,restart_historical,retained,after,historical_control,cm01_correction_restart_historical_retained,cm01_correction_restart_historical_fresh,True,True,False,False,True,False,False
cm01,preference,deletion,deleted,retained,before,uncertainty,cm01_deletion_deleted_retained,cm01_deletion_deleted_fresh,True,True,False,False,True,False,False
cm01,preference,deletion,restart,retained,after,uncertainty,cm01_deletion_restart_retained,cm01_deletion_restart_fresh,True,True,False,False,True,False,False
cm01,preference,expiry,before,retained,before,original,cm01_expiry_before_retained,cm01_expiry_before_fresh,True,True,False,False,True,False,False
cm01,preference,expiry,at,retained,before,uncertainty,cm01_expiry_at_retained,cm01_expiry_at_fresh,True,True,False,False,True,False,False
cm01,preference,expiry,restart,retained,after,uncertainty,cm01_expiry_restart_retained,cm01_expiry_restart_fresh,True,True,False,False,True,False,False
cm04,relationship,correction,corrected,retained,before,replacement,cm04_correction_corrected_retained,cm04_correction_corrected_fresh,True,True,False,False,True,False,False
cm04,relationship,correction,historical,retained,before,historical_control,cm04_correction_historical_retained,cm04_correction_historical_fresh,True,True,False,False,True,False,False
cm04,relationship,correction,restart,retained,after,replacement,cm04_correction_restart_retained,cm04_correction_restart_fresh,False,False,False,False,True,False,False
cm04,relationship,correction,restart_historical,retained,after,historical_control,cm04_correction_restart_historical_retained,cm04_correction_restart_historical_fresh,True,True,False,False,True,False,False
cm04,relationship,deletion,deleted,retained,before,uncertainty,cm04_deletion_deleted_retained,cm04_deletion_deleted_fresh,True,True,False,False,True,False,False
cm04,relationship,deletion,restart,retained,after,uncertainty,cm04_deletion_restart_retained,cm04_deletion_restart_fresh,True,True,False,False,True,False,False
cm04,relationship,expiry,before,retained,before,original,cm04_expiry_before_retained,cm04_expiry_before_fresh,True,True,False,False,True,False,False
cm04,relationship,expiry,at,retained,before,uncertainty,cm04_expiry_at_retained,cm04_expiry_at_fresh,True,True,False,False,True,False,False
cm04,relationship,expiry,restart,retained,after,uncertainty,cm04_expiry_restart_retained,cm04_expiry_restart_fresh,True,True,False,False,True,False,False
cm07,object_location,correction,corrected,retained,before,replacement,cm07_correction_corrected_retained,cm07_correction_corrected_fresh,True,True,False,False,True,False,False
cm07,object_location,correction,historical,retained,before,historical_control,cm07_correction_historical_retained,cm07_correction_historical_fresh,True,True,False,False,True,False,False
cm07,object_location,correction,restart,retained,after,replacement,cm07_correction_restart_retained,cm07_correction_restart_fresh,True,True,False,False,True,False,False
cm07,object_location,correction,restart_historical,retained,after,historical_control,cm07_correction_restart_historical_retained,cm07_correction_restart_historical_fresh,True,True,False,False,True,False,False
cm07,object_location,deletion,deleted,retained,before,uncertainty,cm07_deletion_deleted_retained,cm07_deletion_deleted_fresh,True,True,False,False,True,False,False
cm07,object_location,deletion,restart,retained,after,uncertainty,cm07_deletion_restart_retained,cm07_deletion_restart_fresh,True,True,False,False,True,False,False
cm07,object_location,expiry,before,retained,before,original,cm07_expiry_before_retained,cm07_expiry_before_fresh,True,True,False,False,True,False,False
cm07,object_location,expiry,at,retained,before,uncertainty,cm07_expiry_at_retained,cm07_expiry_at_fresh,True,True,False,False,True,False,False
cm07,object_location,expiry,restart,retained,after,uncertainty,cm07_expiry_restart_retained,cm07_expiry_restart_fresh,True,True,False,False,True,False,False
cm09,appointment,correction,corrected,retained,before,replacement,cm09_correction_corrected_retained,cm09_correction_corrected_fresh,True,True,False,False,True,False,False
cm09,appointment,correction,historical,retained,before,historical_control,cm09_correction_historical_retained,cm09_correction_historical_fresh,True,True,False,False,True,False,False
cm09,appointment,correction,restart,retained,after,replacement,cm09_correction_restart_retained,cm09_correction_restart_fresh,True,True,False,False,True,False,False
cm09,appointment,correction,restart_historical,retained,after,historical_control,cm09_correction_restart_historical_retained,cm09_correction_restart_historical_fresh,True,True,False,False,True,False,False
cm09,appointment,deletion,deleted,retained,before,uncertainty,cm09_deletion_deleted_retained,cm09_deletion_deleted_fresh,True,True,False,False,True,False,False
cm09,appointment,deletion,restart,retained,after,uncertainty,cm09_deletion_restart_retained,cm09_deletion_restart_fresh,True,True,False,False,True,False,False
cm09,appointment,expiry,before,retained,before,original,cm09_expiry_before_retained,cm09_expiry_before_fresh,True,True,False,False,True,False,False
cm09,appointment,expiry,at,retained,before,uncertainty,cm09_expiry_at_retained,cm09_expiry_at_fresh,True,True,False,False,True,False,False
cm09,appointment,expiry,restart,retained,after,uncertainty,cm09_expiry_restart_retained,cm09_expiry_restart_fresh,True,True,False,False,True,False,False
