model,comparison,case_id,repetition,scenario_id,category,request_s_difference,selection_s_difference,retrieval_s_difference,generation_s_difference,validation_s_difference,loading_s_difference,retrieval_attempts_difference,unnecessary_retrievals_difference,irrelevant_inspected_difference,irrelevant_supplied_difference,supplied_coverage_difference,failure_difference
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_01,1,ir_scenario_01,direct_personal_recall,0.06785440100000018,0.011899798000000001,0.025048155000000003,0.021503856000000043,-0.0004847310000000004,0.0008542649999999999,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_01,2,ir_scenario_01,direct_personal_recall,0.04747647200000005,0.008940785000000001,0.020617005000000008,0.021252786000000023,-0.0008733339999999999,0.0006828619999999998,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_01,3,ir_scenario_01,direct_personal_recall,0.01230201799999997,0.011083660000000002,0.020440102,-0.024455946000000006,0.004929976999999999,-0.0006449379999999998,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_02,1,ir_scenario_01,paraphrased_personal_recall,0.5208709250000001,0.5527699580000001,-0.083302443,0.04130414299999985,-0.0004366960000000003,0.0038008469999999996,-1.0,0.0,-22.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_02,2,ir_scenario_01,paraphrased_personal_recall,0.572331803,0.619847873,-0.07544241,0.02972356800000009,-0.0006011710000000002,0.0037885899999999997,-1.0,0.0,-22.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_02,3,ir_scenario_01,paraphrased_personal_recall,0.795583223,0.8446263509999999,-0.080539025,0.03287961100000003,0.00018750000000000017,0.002690076,-1.0,0.0,-22.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_03,1,ir_scenario_01,multi_fact_personal,0.01465569500000008,0.01528249,-0.008118933000000009,0.0010272229999999105,0.0007607369999999992,-0.000226492,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_03,2,ir_scenario_01,multi_fact_personal,0.08178439800000037,0.013942091000000002,0.02559154100000001,0.03016467799999978,-0.0007208760000000005,0.019205557,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_03,3,ir_scenario_01,multi_fact_personal,0.07438470999999991,0.007256704000000001,0.01320900600000001,0.06527094199999972,-0.006901137000000002,-0.000571832,0.0,0.0,0.0,0.0,0.0,0.0
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_04,1,ir_scenario_01,general_no_memory,-0.06327299600000003,0.007858846999999999,-0.070480739,-0.01597950300000006,0.00047963,0.0010520389999999998,-1.0,-1.0,-23.0,0.0,,0.0
