model,comparison,case_id,scenario_id,category,paired_repetitions,failure_difference,generation_s_difference,irrelevant_inspected_difference,irrelevant_supplied_difference,loading_s_difference,request_s_difference,retrieval_attempts_difference,retrieval_s_difference,selection_s_difference,supplied_coverage_difference,unnecessary_retrievals_difference,validation_s_difference
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_01,ir_scenario_01,direct_personal_recall,3,0.0,0.0061002320000000205,0.0,0.0,0.0002973963333333333,0.042544297000000064,0.0,0.02203508733333334,0.010641414333333335,0.0,0.0,0.0011906373333333328
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_02,ir_scenario_01,paraphrased_personal_recall,3,0.0,0.03463577399999999,-22.0,0.0,0.003426504333333333,0.629595317,-1.0,-0.07976129266666666,0.6724147273333333,0.0,0.0,-0.00028345566666666675
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_03,ir_scenario_01,multi_fact_personal,3,0.0,0.032154280999999806,0.0,0.0,0.006135744333333333,0.05694160100000012,0.0,0.01022720466666667,0.012160428333333334,0.0,0.0,-0.002287092000000001
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_04,ir_scenario_01,general_no_memory,3,0.0,0.0013489349999999956,-23.0,0.0,0.0005366396666666665,-0.04787641233333336,-1.0,-0.07276572766666667,0.013793281666666666,,-1.0,0.0001922506666666666
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_05,ir_scenario_01,unknown_or_conflicting,3,0.0,-0.014839316666666639,0.0,0.0,-0.00013088700000000002,-0.021773772333333403,0.0,-0.012825629666666671,0.009421333333333332,,0.0,-0.0011950856666666668
qwen3:0.6b,SELECTIVE-ALWAYS,ir_01_06,ir_scenario_01,lifecycle_or_authorization,3,0.0,0.047115571999999974,0.0,0.0,9.550666666666556e-06,0.11530743199999997,0.0,0.03507834633333333,0.008506172333333334,0.0,0.0,-0.003671955333333333
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_01,ir_scenario_02,direct_personal_recall,3,0.0,-0.020463452000000066,0.0,0.0,-8.928599999999999e-05,-0.015103272999999954,0.0,-0.0040225630000000024,0.011464805333333333,0.0,0.0,-0.001521821666666666
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_02,ir_scenario_02,paraphrased_personal_recall,3,0.0,0.07143893433333326,0.0,0.0,-0.004679337666666668,0.11771568533333343,0.0,0.01771606733333334,0.013143980999999999,0.0,0.0,-0.0003546376666666666
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_03,ir_scenario_02,multi_fact_personal,3,0.0,0.023956424333333448,0.0,0.0,-0.0002638079999999999,0.044233335666666505,0.0,-0.0013125856666666668,0.008763913666666666,0.0,0.0,-0.003255680000000001
qwen3:0.6b,SELECTIVE-ALWAYS,ir_02_04,ir_scenario_02,general_no_memory,3,0.0,-0.546875661,-23.0,-2.0,-0.00017265166666666684,-0.635729753,-1.0,-0.077274569,0.010777491666666668,,-1.0,-0.007424522
