model,policy,repetition,slot,directory,seal_sha256,attempted,status,fragment_offset,planned,failure,worker_session_wall_s,observations,http_events,request_events,start,finish,accounting,inherited_from_prior_collection
qwen3:0.6b,ALWAYS,1,2,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_02,24d8143f4aff32acb882d16719fc7b4daa39b0b2f550d3bcd1fe478a4de89977,0,interrupted,0,48,"{""message"":""revised startup temperature must be below 55 C"",""type"":""SafetyGateError""}",0.203993421,0,0,0,"{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:37:21.662445+00:00"",""fan_pwm"":110,""memory"":{""mem_available_kib"":2346308,""mem_total_kib"":7803236,""swap_free_kib"":1511336,""swap_total_kib"":3901608,""swap_used_kib"":2390272},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":58.0,""gpu-thermal"":58.5,""soc0-thermal"":56.937,""soc1-thermal"":56.937,""soc2-thermal"":57.437,""tj-thermal"":58.312},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}","{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:37:21.679801+00:00"",""fan_pwm"":110,""memory"":{""mem_available_kib"":2346308,""mem_total_kib"":7803236,""swap_free_kib"":1511336,""swap_total_kib"":3901608,""swap_used_kib"":2390272},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":58.031,""gpu-thermal"":58.312,""soc0-thermal"":56.968,""soc1-thermal"":56.781,""soc2-thermal"":57.343,""tj-thermal"":58.312},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}",preserved zero-request admission launch; excludes quality/timing attempt denominators; its time is inside measured fragment supervisor overhead when available and must not be added twice,True
qwen3:0.6b,ALWAYS,1,2,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_02_admission_retry_01,200148ecdd00c2eb315136d544e8f0744957e48d33a8c77cda08ee5949896101,0,interrupted,0,48,"{""message"":""revised startup temperature must be below 55 C"",""type"":""SafetyGateError""}",0.186771094,0,0,0,"{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:37:42.409224+00:00"",""fan_pwm"":98,""memory"":{""mem_available_kib"":2297336,""mem_total_kib"":7803236,""swap_free_kib"":1511848,""swap_total_kib"":3901608,""swap_used_kib"":2389760},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":56.343,""gpu-thermal"":56.093,""soc0-thermal"":55.343,""soc1-thermal"":55.156,""soc2-thermal"":55.406,""tj-thermal"":56.343},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}","{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:37:42.431473+00:00"",""fan_pwm"":98,""memory"":{""mem_available_kib"":2297336,""mem_total_kib"":7803236,""swap_free_kib"":1511848,""swap_total_kib"":3901608,""swap_used_kib"":2389760},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":55.968,""gpu-thermal"":56.531,""soc0-thermal"":55.218,""soc1-thermal"":55.218,""soc2-thermal"":55.437,""tj-thermal"":56.531},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}",preserved zero-request admission launch; excludes quality/timing attempt denominators; its time is inside measured fragment supervisor overhead when available and must not be added twice,True
qwen3:0.6b,ALWAYS,1,2,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_02_admission_retry_02,ea53584fb1d0884bf20762cb0d6b62ed3730afecb52cb476a880adb5afaf1adf,0,interrupted,0,48,"{""message"":""revised startup temperature must be below 55 C"",""type"":""SafetyGateError""}",0.180697334,0,0,0,"{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:38:03.156108+00:00"",""fan_pwm"":93,""memory"":{""mem_available_kib"":2354496,""mem_total_kib"":7803236,""swap_free_kib"":1511848,""swap_total_kib"":3901608,""swap_used_kib"":2389760},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":55.031,""gpu-thermal"":55.156,""soc0-thermal"":54.25,""soc1-thermal"":54.281,""soc2-thermal"":54.375,""tj-thermal"":55.312},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}","{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:38:03.173145+00:00"",""fan_pwm"":93,""memory"":{""mem_available_kib"":2354496,""mem_total_kib"":7803236,""swap_free_kib"":1511848,""swap_total_kib"":3901608,""swap_used_kib"":2389760},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":55.187,""gpu-thermal"":55.093,""soc0-thermal"":54.25,""soc1-thermal"":54.125,""soc2-thermal"":54.375,""tj-thermal"":55.187},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}",preserved zero-request admission launch; excludes quality/timing attempt denominators; its time is inside measured fragment supervisor overhead when available and must not be added twice,True
qwen3:0.6b,SELECTIVE,1,3,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_03,13c0d8f58d01842d6baa662258841da1b5da2b71c23c54f2cb46d98cf38665db,0,interrupted,0,48,"{""message"":""revised startup temperature must be below 55 C"",""type"":""SafetyGateError""}",0.213252604,0,0,0,"{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:40:01.066278+00:00"",""fan_pwm"":110,""memory"":{""mem_available_kib"":2403784,""mem_total_kib"":7803236,""swap_free_kib"":1512872,""swap_total_kib"":3901608,""swap_used_kib"":2388736},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":59.156,""gpu-thermal"":59.281,""soc0-thermal"":57.906,""soc1-thermal"":57.75,""soc2-thermal"":58.312,""tj-thermal"":59.281},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}","{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:40:01.086439+00:00"",""fan_pwm"":110,""memory"":{""mem_available_kib"":2403784,""mem_total_kib"":7803236,""swap_free_kib"":1512872,""swap_total_kib"":3901608,""swap_used_kib"":2388736},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":59.281,""gpu-thermal"":59.468,""soc0-thermal"":58.093,""soc1-thermal"":57.75,""soc2-thermal"":58.281,""tj-thermal"":59.468},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}",preserved zero-request admission launch; excludes quality/timing attempt denominators; its time is inside measured fragment supervisor overhead when available and must not be added twice,True
qwen3:0.6b,SELECTIVE,1,3,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_03_admission_retry_01,0be62a1be8f38b3315a7fcf17b683f585d66c264048461fd387157bb98b31f16,0,interrupted,0,48,"{""message"":""revised startup temperature must be below 55 C"",""type"":""SafetyGateError""}",0.183185864,0,0,0,"{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:40:21.847299+00:00"",""fan_pwm"":101,""memory"":{""mem_available_kib"":2378408,""mem_total_kib"":7803236,""swap_free_kib"":1512872,""swap_total_kib"":3901608,""swap_used_kib"":2388736},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":57.187,""gpu-thermal"":57.031,""soc0-thermal"":56.0,""soc1-thermal"":56.0,""soc2-thermal"":56.25,""tj-thermal"":57.187},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}","{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:40:21.865583+00:00"",""fan_pwm"":101,""memory"":{""mem_available_kib"":2378408,""mem_total_kib"":7803236,""swap_free_kib"":1512872,""swap_total_kib"":3901608,""swap_used_kib"":2388736},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":57.031,""gpu-thermal"":57.343,""soc0-thermal"":56.062,""soc1-thermal"":55.906,""soc2-thermal"":56.281,""tj-thermal"":57.375},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}",preserved zero-request admission launch; excludes quality/timing attempt denominators; its time is inside measured fragment supervisor overhead when available and must not be added twice,True
qwen3:0.6b,SELECTIVE,1,3,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_03_admission_retry_02,7c439e7063aef91a7a1d4a87bf337dee8b5507576011e202eab6a5fb2a90e3c8,0,interrupted,0,48,"{""message"":""revised startup temperature must be below 55 C"",""type"":""SafetyGateError""}",0.198300387,0,0,0,"{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:40:42.613925+00:00"",""fan_pwm"":97,""memory"":{""mem_available_kib"":2372244,""mem_total_kib"":7803236,""swap_free_kib"":1512872,""swap_total_kib"":3901608,""swap_used_kib"":2388736},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":55.687,""gpu-thermal"":55.843,""soc0-thermal"":54.875,""soc1-thermal"":54.906,""soc2-thermal"":55.093,""tj-thermal"":55.843},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}","{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:40:42.632957+00:00"",""fan_pwm"":97,""memory"":{""mem_available_kib"":2372264,""mem_total_kib"":7803236,""swap_free_kib"":1512872,""swap_total_kib"":3901608,""swap_used_kib"":2388736},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":55.468,""gpu-thermal"":55.875,""soc0-thermal"":54.968,""soc1-thermal"":54.812,""soc2-thermal"":55.125,""tj-thermal"":55.875},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}",preserved zero-request admission launch; excludes quality/timing attempt denominators; its time is inside measured fragment supervisor overhead when available and must not be added twice,True
qwen3:0.6b,SELECTIVE,1,3,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_03_admission_retry_03,069efaea8281cf17ed28e7da76cdda94733065e12dea616a753cebae89733e7d,0,interrupted,0,48,"{""message"":""revised startup temperature must be below 55 C"",""type"":""SafetyGateError""}",0.185296815,0,0,0,"{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:41:03.374390+00:00"",""fan_pwm"":93,""memory"":{""mem_available_kib"":2210700,""mem_total_kib"":7803236,""swap_free_kib"":1513640,""swap_total_kib"":3901608,""swap_used_kib"":2387968},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":54.968,""gpu-thermal"":55.093,""soc0-thermal"":54.125,""soc1-thermal"":54.093,""soc2-thermal"":54.437,""tj-thermal"":55.156},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}","{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:41:03.391448+00:00"",""fan_pwm"":93,""memory"":{""mem_available_kib"":2210448,""mem_total_kib"":7803236,""swap_free_kib"":1513640,""swap_total_kib"":3901608,""swap_used_kib"":2387968},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":54.843,""gpu-thermal"":55.093,""soc0-thermal"":54.156,""soc1-thermal"":54.125,""soc2-thermal"":54.343,""tj-thermal"":55.093},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}",preserved zero-request admission launch; excludes quality/timing attempt denominators; its time is inside measured fragment supervisor overhead when available and must not be added twice,True
qwen3:1.7b,SELECTIVE,1,4,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_04,713b143b18543f2982c4388edffcea93ccd1416bcd0bf8e675bd9dcec86b3ddf,0,interrupted,0,48,"{""message"":""revised startup temperature must be below 55 C"",""type"":""SafetyGateError""}",0.185901051,0,0,0,"{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:43:06.582934+00:00"",""fan_pwm"":113,""memory"":{""mem_available_kib"":2292716,""mem_total_kib"":7803236,""swap_free_kib"":1515944,""swap_total_kib"":3901608,""swap_used_kib"":2385664},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":59.125,""gpu-thermal"":59.218,""soc0-thermal"":58.062,""soc1-thermal"":57.875,""soc2-thermal"":58.375,""tj-thermal"":59.218},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}","{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:43:06.600635+00:00"",""fan_pwm"":113,""memory"":{""mem_available_kib"":2291960,""mem_total_kib"":7803236,""swap_free_kib"":1515944,""swap_total_kib"":3901608,""swap_used_kib"":2385664},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":59.125,""gpu-thermal"":59.093,""soc0-thermal"":57.906,""soc1-thermal"":57.875,""soc2-thermal"":58.406,""tj-thermal"":59.375},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}",preserved zero-request admission launch; excludes quality/timing attempt denominators; its time is inside measured fragment supervisor overhead when available and must not be added twice,True
qwen3:1.7b,SELECTIVE,1,4,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_04_admission_retry_01,8123bb7628bf42c9b8f3e88922dea1c1689dfcfdb2f82cc2d557bbfae6a5ee26,0,interrupted,0,48,"{""message"":""revised startup temperature must be below 55 C"",""type"":""SafetyGateError""}",0.192523887,0,0,0,"{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:43:27.323109+00:00"",""fan_pwm"":101,""memory"":{""mem_available_kib"":2314872,""mem_total_kib"":7803236,""swap_free_kib"":1515944,""swap_total_kib"":3901608,""swap_used_kib"":2385664},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":57.25,""gpu-thermal"":57.343,""soc0-thermal"":56.312,""soc1-thermal"":56.093,""soc2-thermal"":56.406,""tj-thermal"":57.25},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}","{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:43:27.340532+00:00"",""fan_pwm"":101,""memory"":{""mem_available_kib"":2314872,""mem_total_kib"":7803236,""swap_free_kib"":1515944,""swap_total_kib"":3901608,""swap_used_kib"":2385664},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":57.25,""gpu-thermal"":57.125,""soc0-thermal"":56.156,""soc1-thermal"":56.156,""soc2-thermal"":56.437,""tj-thermal"":57.25},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}",preserved zero-request admission launch; excludes quality/timing attempt denominators; its time is inside measured fragment supervisor overhead when available and must not be added twice,True
qwen3:1.7b,SELECTIVE,1,4,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_04_admission_retry_02,096f30c0e5588e8d5abb9ec133f9329b28fcc8d1122bbecf2a8278684b0d68ea,0,interrupted,0,48,"{""message"":""revised startup temperature must be below 55 C"",""type"":""SafetyGateError""}",0.189186413,0,0,0,"{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:43:48.068089+00:00"",""fan_pwm"":97,""memory"":{""mem_available_kib"":2310984,""mem_total_kib"":7803236,""swap_free_kib"":1515944,""swap_total_kib"":3901608,""swap_used_kib"":2385664},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":56.125,""gpu-thermal"":56.218,""soc0-thermal"":55.062,""soc1-thermal"":55.218,""soc2-thermal"":55.406,""tj-thermal"":56.093},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}","{""boot_id"":""42c93f63-4b10-4ae4-b73c-1cdf4def0661"",""captured_at"":""2026-09-13T16:43:48.084215+00:00"",""fan_pwm"":97,""memory"":{""mem_available_kib"":2310984,""mem_total_kib"":7803236,""swap_free_kib"":1515944,""swap_total_kib"":3901608,""swap_used_kib"":2385664},""power_mode"":""NV Power Mode: 15W\n0"",""reset_reason"":""SYS_RESET_N"",""resident_models"":[],""temperatures_c"":{""cpu-thermal"":55.937,""gpu-thermal"":56.312,""soc0-thermal"":55.031,""soc1-thermal"":55.093,""soc2-thermal"":55.437,""tj-thermal"":56.312},""thermal_trip_events"":{""cpu"":0,""cv0"":0,""cv1"":0,""cv2"":0,""gpu"":0,""soc0"":0,""soc1"":0,""soc2"":0}}",preserved zero-request admission launch; excludes quality/timing attempt denominators; its time is inside measured fragment supervisor overhead when available and must not be added twice,True
