model,policy,case_id,repetitions,distinct_delivered_outcomes,mean_request_s,mean_success
qwen3:0.6b,ALWAYS,ir_01_01,3,1,1.6200311296666667,
qwen3:0.6b,ALWAYS,ir_01_02,3,1,1.3451677176666668,
qwen3:0.6b,ALWAYS,ir_01_03,3,1,2.3096952796666668,
qwen3:0.6b,ALWAYS,ir_01_04,3,2,1.6317308946666667,
qwen3:0.6b,ALWAYS,ir_01_05,3,1,1.4224798756666668,
qwen3:0.6b,ALWAYS,ir_01_06,3,1,1.9430747636666668,
qwen3:0.6b,ALWAYS,ir_02_01,3,1,1.6669890016666666,
qwen3:0.6b,ALWAYS,ir_02_02,3,1,1.4474213486666667,
qwen3:0.6b,ALWAYS,ir_02_03,3,2,2.5438498013333333,
qwen3:0.6b,ALWAYS,ir_02_04,3,1,2.069628606,
qwen3:0.6b,ALWAYS,ir_02_05,3,1,1.6850392969999999,
qwen3:0.6b,ALWAYS,ir_02_06,3,1,1.3364187066666666,
qwen3:0.6b,ALWAYS,ir_03_01,3,1,1.6340487263333334,
qwen3:0.6b,ALWAYS,ir_03_02,3,1,1.5012285686666667,
qwen3:0.6b,ALWAYS,ir_03_03,3,1,2.003826129666667,
qwen3:0.6b,ALWAYS,ir_03_04,3,3,1.5747933263333334,
qwen3:0.6b,ALWAYS,ir_03_05,3,1,1.5653318186666667,
qwen3:0.6b,ALWAYS,ir_03_06,3,1,2.115661805,
qwen3:0.6b,ALWAYS,ir_04_01,3,1,1.720729334,
qwen3:0.6b,ALWAYS,ir_04_02,3,1,1.4752709286666668,
qwen3:0.6b,ALWAYS,ir_04_03,3,2,2.0731369133333333,
qwen3:0.6b,ALWAYS,ir_04_04,3,1,1.294774583,
qwen3:0.6b,ALWAYS,ir_04_05,3,1,1.2073748396666666,
qwen3:0.6b,ALWAYS,ir_04_06,3,1,1.2309693506666668,
qwen3:0.6b,ALWAYS,ir_05_01,3,1,1.627036873,
qwen3:0.6b,ALWAYS,ir_05_02,3,1,1.664256455,
qwen3:0.6b,ALWAYS,ir_05_03,3,1,2.1244771393333335,
qwen3:0.6b,ALWAYS,ir_05_04,3,1,1.114052545,
qwen3:0.6b,ALWAYS,ir_05_05,3,1,1.843126138,
qwen3:0.6b,ALWAYS,ir_05_06,3,1,4.958844721,
