request_id,model,category,status,correct,wall_seconds
rg24,qwen3:0.6b,routine_general,ok,False,0.935802589
cg16,qwen3:0.6b,constrained_general,ok,False,0.365897557
pr07,qwen3:0.6b,personal_recall,ok,True,0.340459575
pt13,qwen3:0.6b,personal_temporal,ok,False,1.150932878
rg01,qwen3:0.6b,routine_general,ok,True,0.717838927
cg30,qwen3:0.6b,constrained_general,ok,False,1.36365156
pr05,qwen3:0.6b,personal_recall,ok,False,1.38560399
pt12,qwen3:0.6b,personal_temporal,ok,False,0.966949758
rg05,qwen3:0.6b,routine_general,ok,True,1.231986034
cg29,qwen3:0.6b,constrained_general,ok,False,0.80159336
pr21,qwen3:0.6b,personal_recall,ok,False,0.293234384
pt06,qwen3:0.6b,personal_temporal,ok,True,1.406862488
rg26,qwen3:0.6b,routine_general,ok,False,0.28060386
cg23,qwen3:0.6b,constrained_general,ok,False,1.887173314
pr06,qwen3:0.6b,personal_recall,ok,True,0.62947121
pt14,qwen3:0.6b,personal_temporal,ok,True,0.975417248
rg30,qwen3:0.6b,routine_general,ok,False,0.313528634
cg10,qwen3:0.6b,constrained_general,ok,False,1.040794593
pr13,qwen3:0.6b,personal_recall,ok,True,0.356623334
pt21,qwen3:0.6b,personal_temporal,ok,False,0.598391214
rg24,qwen3:1.7b,routine_general,ok,True,2.349756359
cg16,qwen3:1.7b,constrained_general,ok,True,9.661861144
pr07,qwen3:1.7b,personal_recall,ok,True,2.43213218
pt13,qwen3:1.7b,personal_temporal,ok,False,3.688766996
rg01,qwen3:1.7b,routine_general,ok,True,14.23806283
cg30,qwen3:1.7b,constrained_general,ok,True,7.304603149
pr05,qwen3:1.7b,personal_recall,ok,True,3.468817328
pt12,qwen3:1.7b,personal_temporal,ok,False,21.656979843
rg05,qwen3:1.7b,routine_general,ok,True,13.622850661
cg29,qwen3:1.7b,constrained_general,ok,True,9.447915565
pr21,qwen3:1.7b,personal_recall,ok,True,4.071083528
pt06,qwen3:1.7b,personal_temporal,ok,True,8.739746008
rg26,qwen3:1.7b,routine_general,ok,True,5.848398411
cg23,qwen3:1.7b,constrained_general,ok,True,7.264908951
pr06,qwen3:1.7b,personal_recall,ok,True,2.181346976
pt14,qwen3:1.7b,personal_temporal,ok,True,9.127503566
rg30,qwen3:1.7b,routine_general,ok,False,3.354507924
cg10,qwen3:1.7b,constrained_general,ok,True,3.553811087
