comparator,sequence_id,pattern,timing_repetitions,mean_adaptive_minus_comparator_seconds
large,ro_dddd_1,DDDD,1,11.584129329999996
large,ro_dddd_2,DDDD,1,-13.955816059
large,ro_eeee_1,EEEE,1,-95.958836252
large,ro_eeee_2,EEEE,1,-72.81575384199999
large,ro_eeee_3,EEEE,1,-68.34773824000001
replay,ro_dddd_1,DDDD,1,1.9245878979999986
replay,ro_dddd_2,DDDD,1,31.096260866999998
replay,ro_eeee_1,EEEE,1,4.681180351999998
replay,ro_eeee_2,EEEE,1,3.835714437
replay,ro_eeee_3,EEEE,1,5.171125917999998
small,ro_dddd_1,DDDD,1,107.042215797
small,ro_dddd_2,DDDD,1,84.302801227
small,ro_eeee_1,EEEE,1,0.292755697999997
small,ro_eeee_2,EEEE,1,2.0364162850000014
small,ro_eeee_3,EEEE,1,3.372263617999998
