sequence_id,pattern,repetition,comparator,adaptive_seconds,comparator_seconds,adaptive_minus_comparator_seconds,adaptive_startup_minus_comparator_seconds,adaptive_requests_minus_comparator_seconds
ro_dddd_1,DDDD,1,small,126.330813718,19.288597921,107.042215797,0.7100199250000001,106.322689219
ro_dddd_1,DDDD,1,large,126.330813718,114.746684388,11.584129329999996,0.7013214919999999,10.866873811999994
ro_dddd_1,DDDD,1,replay,126.330813718,124.40622582,1.9245878979999986,-0.202612754,2.1202414990000022
ro_dddd_2,DDDD,1,small,106.258105133,21.955303906,84.302801227,0.33707880999999995,83.957419429
ro_dddd_2,DDDD,1,large,106.258105133,120.213921192,-13.955816059,0.6751667480000001,-14.645601197000005
ro_dddd_2,DDDD,1,replay,106.258105133,75.161844266,31.096260866999998,0.485488653,30.607424164999998
ro_eeee_1,EEEE,1,small,20.857891126,20.565135428,0.292755697999997,1.0167904240000003,-0.7033848380000016
ro_eeee_1,EEEE,1,large,20.857891126,116.816727378,-95.958836252,0.9396209230000001,-96.891761723
ro_eeee_1,EEEE,1,replay,20.857891126,16.176710774,4.681180351999998,1.3691597910000004,3.3018669339999995
ro_eeee_2,EEEE,1,small,20.008176785,17.9717605,2.0364162850000014,0.2984547759999998,1.730894086000001
ro_eeee_2,EEEE,1,large,20.008176785,92.823930627,-72.81575384199999,0.12349809399999989,-72.927793962
ro_eeee_2,EEEE,1,replay,20.008176785,16.172462348,3.835714437,0.2963235809999998,3.5327106520000005
ro_eeee_3,EEEE,1,small,21.629086322,18.256822704,3.372263617999998,2.0564005720000003,1.3073015290000018
ro_eeee_3,EEEE,1,large,21.629086322,89.976824562,-68.34773824000001,2.119714878,-70.459773603
ro_eeee_3,EEEE,1,replay,21.629086322,16.457960404,5.171125917999998,2.034561497,3.1182048080000015
