arm,grouping,condition,n,total,mean,median,p95,min,max,output_tokens_mean
adaptive,residency_condition,cold_start,5,119.361923959,23.8723847918,12.311030639,42.0409732034,11.732018023,42.232276798,44
adaptive,residency_condition,resident_same_model,15,157.73156279699998,10.5154375198,1.903934679,30.069494263399985,1.343090849,40.074960117,37.86666666666667
large,residency_condition,cold_start,6,284.512612662,47.418768777,49.395483573,53.88536996425,36.934798038,53.931061108,52.333333333333336
large,residency_condition,resident_same_model,18,355.621096802,19.756727600111113,19.6215949975,28.163662506349993,8.223034278,31.670474041,39.64705882352941
replay,residency_condition,cold_start,5,127.65912272,25.531824544000003,11.380463274,57.107061945999995,10.297521694,63.305060091,44
replay,residency_condition,resident_same_model,15,106.75391597800001,7.116927731866667,1.134589992,23.19147654909999,0.663455199,30.399399318,37.86666666666667
small,residency_condition,cold_start,6,67.383610828,11.230601804666666,11.180818624,12.32590356275,10.176741946,12.368298365,49.833333333333336
small,residency_condition,resident_same_model,18,37.056906223999995,2.0587170124444443,1.961460235,2.982949842299999,1.307540678,3.329436228,44
adaptive,following_turn_of_transition,None,5,119.361923959,23.8723847918,12.311030639,42.0409732034,11.732018023,42.232276798,44
adaptive,following_turn_of_transition,cold_start,5,61.663600286000005,12.332720057200001,2.044689981,35.245240849199995,1.713651731,40.074960117,42.6
adaptive,following_turn_of_transition,resident_same_model,10,96.06796251099998,9.6067962511,1.737609427,25.305164370649997,1.343090849,25.781437469,35.5
large,following_turn_of_transition,None,6,284.512612662,47.418768777,49.395483573,53.88536996425,36.934798038,53.931061108,52.333333333333336
large,following_turn_of_transition,cold_start,6,108.97784942,18.162974903333332,17.932181362,22.96312524075,13.4548337,23.779893483,45
large,following_turn_of_transition,resident_same_model,12,246.64324738199997,20.5536039485,20.349302672,29.401360695049995,8.223034278,31.670474041,36.72727272727273
replay,following_turn_of_transition,None,5,127.65912272,25.531824544000003,11.380463274,57.107061945999995,10.297521694,63.305060091,44
replay,following_turn_of_transition,cold_start,5,41.056841098,8.2113682196,1.148183508,25.795341350599998,1.059311378,30.399399318,42.6
replay,following_turn_of_transition,resident_same_model,10,65.69707488,6.569707488000001,1.116777687,19.8651592702,0.663455199,20.102366791,35.5
small,following_turn_of_transition,None,6,67.383610828,11.230601804666666,11.180818624,12.32590356275,10.176741946,12.368298365,49.833333333333336
small,following_turn_of_transition,cold_start,6,12.997359292999999,2.1662265488333334,2.142425603,2.4371493795,1.886673517,2.438171556,42.833333333333336
small,following_turn_of_transition,resident_same_model,12,24.059546931,2.00496224425,1.7144894775,3.1052391548999996,1.307540678,3.329436228,44.583333333333336
adaptive,return_to_small,False,20,277.093486756,13.8546743378,11.771428848500001,41.32358472365,1.343090849,42.232276798,39.4
large,return_to_small,False,24,640.133709464,26.672237894333332,21.8458307525,53.35974959919999,8.223034278,53.931061108,42.95652173913044
replay,return_to_small,False,20,234.41303869799998,11.720651934900001,7.563084884,33.86456890225003,0.663455199,63.305060091,39.4
small,return_to_small,False,24,104.440517052,4.3516882105,2.2414289335,12.059791795249998,1.307540678,12.368298365,45.458333333333336
adaptive,following_small_return,False,20,277.093486756,13.8546743378,11.771428848500001,41.32358472365,1.343090849,42.232276798,39.4
large,following_small_return,False,24,640.133709464,26.672237894333332,21.8458307525,53.35974959919999,8.223034278,53.931061108,42.95652173913044
replay,following_small_return,False,20,234.41303869799998,11.720651934900001,7.563084884,33.86456890225003,0.663455199,63.305060091,39.4
small,following_small_return,False,24,104.440517052,4.3516882105,2.2414289335,12.059791795249998,1.307540678,12.368298365,45.458333333333336
