arm,purpose,actual_model,observed_rows,gpu_allocation_fraction_known_count,gpu_allocation_fraction_mean,gpu_allocation_fraction_sum,gpu_allocation_fraction_min,gpu_allocation_fraction_max,loaded_bytes_known_count,loaded_bytes_mean,loaded_bytes_sum,loaded_bytes_min,loaded_bytes_max,gpu_allocated_bytes_known_count,gpu_allocated_bytes_mean,gpu_allocated_bytes_sum,gpu_allocated_bytes_min,gpu_allocated_bytes_max,output_tokens_known_count,output_tokens_mean,output_tokens_sum,output_tokens_min,output_tokens_max,prompt_tokens_known_count,prompt_tokens_mean,prompt_tokens_sum,prompt_tokens_min,prompt_tokens_max
adaptive,generation,qwen3:0.6b,15,15,1.0,15.0,1.0,1.0,15,693423308,10401349620,693423308,693423308,15,693423308,10401349620,693423308,693423308,15,34.2,513,18,55,15,405,6075,342,501
adaptive,generation,qwen3:1.7b,21,21,0.6139806617408965,12.893593896558825,0.5407274430786109,0.662442003615788,21,1658824760.6666667,34835319974,1658815773,1658826259,21,1018486362.2380953,21388213607,896972881,1098876190,21,54.23809523809524,1139,26,100,21,450.04761904761904,9451,338,578
adaptive,memory_selector,qwen3:0.6b,12,12,1.0,12.0,1.0,1.0,12,693423308,8321079696,693423308,693423308,12,693423308,8321079696,693423308,693423308,12,13,156,13,13,12,743.0833333333334,8917,740,771
adaptive,memory_selector,qwen3:1.7b,10,10,0.6263199213917584,6.263199213917584,0.5886331604106347,0.662442003615788,10,1658825210.1,16588252101,1658815773,1658826259,10,1038955314.7,10389553147,976433971,1098876190,10,14.2,142,13,17,10,651.4,6514,270,791
large,generation,qwen3:1.7b,36,36,0.5919450229959212,21.31002082785316,0.4908689803011657,0.662442003615788,36,1658822763.4444444,59717619484,1658815773,1658826259,36,981932004.3333334,35349552156,814261207,1098876190,36,46.666666666666664,1680,22,100,36,426.30555555555554,15347,314,563
large,memory_selector,qwen3:1.7b,22,22,0.586898842557185,12.911774536258065,0.4908689803011657,0.662442003615788,22,1658821969.1363637,36494083321,1658815773,1658826259,22,973560872.6363636,21418339198,814261207,1098876190,22,13.545454545454545,298,13,17,22,703.6818181818181,15481,270,791
replay,generation,qwen3:0.6b,14,14,1.0,14.0,1.0,1.0,14,693423308,9707926312,693423308,693423308,14,693423308,9707926312,693423308,693423308,14,33.07142857142857,463,18,55,14,398.57142857142856,5580,342,501
replay,generation,qwen3:1.7b,18,18,0.6221970783007242,11.199547409413034,0.5646784411073155,0.662442003615788,18,1658826258.7777777,29858872658,1658826258,1658826259,18,1032116851.6111112,18578103329,936703426,1098876190,18,55.77777777777778,1004,26,107,18,446.3333333333333,8034,338,578
small,generation,qwen3:0.6b,36,36,1.0,36.0,1.0,1.0,36,693423308,24963239088,693423308,693423308,36,693423308,24963239088,693423308,693423308,36,44.72222222222222,1610,18,105,36,445.5833333333333,16041,342,582
small,memory_selector,qwen3:0.6b,22,22,1.0,22.0,1.0,1.0,22,693423308,15255312776,693423308,693423308,22,693423308,15255312776,693423308,693423308,22,13.545454545454545,298,13,17,22,700.6818181818181,15415,293,791
