repetition,arm,model,calls,gpu_allocation_fraction_min,gpu_allocation_fraction_max,gpu_allocation_fraction_mean
1,adaptive,qwen3:0.6b,18,1.0,1.0,1.0
1,adaptive,qwen3:1.7b,30,0.5407274430786109,0.662442003615788,0.6089670960117476
1,large,qwen3:1.7b,48,0.4908689803011657,0.662442003615788,0.5911170573495996
1,replay,qwen3:0.6b,18,1.0,1.0,1.0
1,replay,qwen3:1.7b,30,0.5646784411073155,0.662442003615788,0.6089667238842861
1,small,qwen3:0.6b,48,1.0,1.0,1.0
2,adaptive,qwen3:0.6b,18,1.0,1.0,1.0
2,adaptive,qwen3:1.7b,30,0.5407274430786109,0.6883525712793486,0.6172773569892165
2,large,qwen3:1.7b,48,0.5407274430786109,0.6384910054646055,0.6098952943926143
2,replay,qwen3:0.6b,18,1.0,1.0,1.0
2,replay,qwen3:1.7b,30,0.5148201294562925,0.6384910054646055,0.5975283928120511
2,small,qwen3:0.6b,48,1.0,1.0,1.0
