pattern,arm,repetition,observed_rows,startup_seconds_known_count,startup_seconds_mean,startup_seconds_sum,startup_seconds_min,startup_seconds_max,request_seconds_known_count,request_seconds_mean,request_seconds_sum,request_seconds_min,request_seconds_max,sequence_gaps_seconds_known_count,sequence_gaps_seconds_mean,sequence_gaps_seconds_sum,sequence_gaps_seconds_min,sequence_gaps_seconds_max,sequence_seconds_known_count,sequence_seconds_mean,sequence_seconds_sum,sequence_seconds_min,sequence_seconds_max,cleanup_seconds_known_count,cleanup_seconds_mean,cleanup_seconds_sum,cleanup_seconds_min,cleanup_seconds_max,generation_output_tokens_all_calls_known_count,generation_output_tokens_all_calls_mean,generation_output_tokens_all_calls_sum,generation_output_tokens_all_calls_min,generation_output_tokens_all_calls_max,all_backend_load_duration_seconds_known_count,all_backend_load_duration_seconds_mean,all_backend_load_duration_seconds_sum,all_backend_load_duration_seconds_min,all_backend_load_duration_seconds_max,all_backend_prompt_eval_duration_seconds_known_count,all_backend_prompt_eval_duration_seconds_mean,all_backend_prompt_eval_duration_seconds_sum,all_backend_prompt_eval_duration_seconds_min,all_backend_prompt_eval_duration_seconds_max,all_backend_eval_duration_seconds_known_count,all_backend_eval_duration_seconds_mean,all_backend_eval_duration_seconds_sum,all_backend_eval_duration_seconds_min,all_backend_eval_duration_seconds_max
DDDD,adaptive,1,3,3,2.7934274390000002,8.380282317,2.270411718,3.108900428,3,112.25207224266667,336.756216728,102.977983775,123.147000162,3,0.17770971533333332,0.533129146,0.17122093,0.182843385,3,115.223209397,345.669628191,106.258105133,126.330813718,3,0.20876131533333334,0.626283946,0.204285786,0.213084961,3,236,708,173,311,3,24.029804065666667,72.089412197,22.692526408,25.922388455,3,3.443565,10.330695,2.1426000000000003,4.1303339999999995,3,83.303582,249.91074600000002,73.673737,94.904375
DDDD,adaptive,2,3,3,2.4468649,7.3405947000000005,2.299274984,2.621974036,3,46.51873233733333,139.55619701199998,45.317979665,48.567148109,3,0.203639632,0.610918896,0.182939952,0.226569742,3,49.16923686933333,147.50771060800002,48.153284174,51.187902991,3,0.21390492166666666,0.641714765,0.199972025,0.235756847,3,236,708,173,311,3,22.575118656999997,67.725355971,22.067742167999995,23.271749549,3,3.074695999666667,9.224087999,1.9206689989999999,3.7893220000000003,3,19.274253333333334,57.82276,16.368117,23.023054
DDDD,adaptive,3,3,3,2.986677738,8.960033214,2.513378398,3.498083912,3,94.25195590466667,282.75586771400003,84.501435677,107.902236123,3,0.18382548,0.55147644,0.178747531,0.1922377,3,97.42245912266667,292.267377368,88.17826712,111.043044727,3,0.22084130233333335,0.662523907,0.197628944,0.249324329,3,234.33333333333334,703,171,311,3,24.018792665666666,72.056377997,23.58747632,24.405508474,3,3.3580013333333336,10.074004000000002,1.7825230000000003,4.665644,3,65.16913166633333,195.50739499899998,57.13419299899999,77.767444
DDDD,large,1,3,3,2.366705161,7.100115483,2.299648679,2.43373368,3,116.29529245233334,348.885877357,112.28012635,118.982166035,3,0.16031055,0.48093165,0.15660254,0.166909359,3,118.82230816333333,356.46692449,114.746684388,121.50631891,3,0.22598833,0.67796499,0.208638658,0.248964891,3,235.33333333333334,706,171,311,3,23.982356269333334,71.947068808,23.609180959999996,24.39070604,3,3.393787333333333,10.181362,1.8128309999999999,4.291202,3,87.53027566666667,262.590827,82.81698399999999,91.66491
DDDD,large,2,3,3,2.4672122626666666,7.401636787999999,2.368296564,2.647020967,3,50.13066294633333,150.391988839,44.545374998,60.334469238,3,0.175318962,0.525956886,0.155045025,0.203816367,3,52.773194171,158.319582513,47.080767056,63.185306572,3,0.199862393,0.599587179,0.194997639,0.208325054,3,235.33333333333334,706,171,311,3,22.251369149666665,66.754107449,22.133858306,22.456116834,3,3.1621200000000003,9.486360000000001,1.908092,4.041515,3,23.209414999333333,69.628244998,17.346484,34.579088999999996
DDDD,large,3,3,3,3.1581608473333334,9.474482542,2.315315074,4.330697228,3,97.92886766166667,293.786602985,80.021895072,123.478499453,3,0.17909675533333333,0.5372902660000001,0.165015161,0.199425966,3,101.26612526433334,303.798375793,82.502225307,126.506395659,3,0.22506845066666667,0.675205352,0.214012522,0.233591747,3,264.3333333333333,793,171,347,3,23.244836631000002,69.734509893,22.610283253,23.919436901,3,3.5101579996666668,10.530473999000002,2.205737,4.3363449990000005,3,69.78350499966666,209.35051499899998,54.151125999,94.06116899999999
DDDD,replay,1,3,3,2.7433724373333335,8.230117312,2.403122612,3.203582925,3,105.162566939,315.487700817,72.37055961,122.090382544,3,0.16674593166666668,0.500237795,0.156480682,0.175884232,3,108.072685308,324.218055924,75.161844266,124.649985838,3,0.20359743666666666,0.61079231,0.19680577,0.209079582,3,248,744,173,347,3,24.37546414766667,73.126392443,23.281586665000003,25.847626959,3,2.2465976666666667,6.739793000000001,1.9646510000000001,2.563355,3,77.63259233333332,232.89777699999996,46.388288,94.63286799999999
DDDD,replay,2,3,3,2.607395916,7.822187747999999,2.413667155,2.867821383,3,42.348150692666664,127.044452078,36.232103076,49.89834729,3,0.185957541,0.5578726230000001,0.17562067,0.20070511,3,45.141504149666666,135.424512449,39.281471302,52.63975161,3,0.200902438,0.602707314,0.188220052,0.208786879,3,241,723,171,328,3,22.250364096,66.751092288,21.940985512999998,22.462275045000002,3,2.0993683333333335,6.2981050000000005,1.917124,2.2554,3,17.039752666666665,51.119258,11.366192999999999,24.448756
DDDD,replay,3,3,3,2.524391475333333,7.573174426,2.344929352,2.798616295,3,92.829443777,278.48833133100004,61.059477966,125.374915035,3,0.20695714866666665,0.620871446,0.159656839,0.277142821,3,95.560792401,286.682377203,63.588479104,128.450674151,3,0.23185961700000002,0.695578851,0.201338325,0.2683489,3,250.66666666666666,752,170,311,3,24.203125033,72.60937509899999,23.749189476999998,24.86879295,3,2.2315959999999997,6.694788,1.974738,2.382141,3,65.48114799966666,196.44344399899998,34.232248999,98.07331099999999
DDDD,small,1,3,3,2.4676642786666667,7.402992836,2.290950246,2.771821618,3,18.602275003333332,55.80682501,16.824310943,19.961949721,3,0.15879614333333333,0.47638843,0.140133756,0.173336732,3,21.228735425333333,63.68620627600001,19.288597921,22.442304449,3,0.14300239166666667,0.42900717499999996,0.126164757,0.160251934,3,233.33333333333334,700,170,336,3,8.817144709,26.451434127000002,8.473838312,9.265086231000002,3,1.009681,3.0290429999999997,0.55556,1.358836,3,7.46358,22.39074,5.621410000000001,9.580949
DDDD,small,2,3,3,3.3900759893333334,10.170227968,2.506826129,4.693709506,3,17.54921205766667,52.647636173,16.600994434,18.296863715,3,0.21690796333333334,0.65072389,0.202374924,0.243974856,3,21.156196010333332,63.468588030999996,20.458979077,21.538678796,3,0.13603004999999999,0.40809015000000004,0.127624423,0.14699463,3,233.33333333333334,700,170,336,3,9.380558121,28.141674363,8.813089226,10.27058178,3,0.960587,2.881761,0.617499,1.164095,3,5.742552,17.227656,4.936478,7.187839
DDDD,small,3,3,3,2.6837241063333335,8.051172319,2.353448067,3.060498115,3,18.714171821666667,56.142515465,17.043750877,19.909806741,3,0.16880893366666666,0.5064268009999999,0.160915339,0.181783387,3,21.56670486166667,64.700114585,19.862760401,22.426982883,3,0.145566938,0.43670081400000005,0.136695291,0.15590654,3,233.33333333333334,700,170,336,3,9.244836267666667,27.734508803000004,9.012190047,9.637463534000002,3,0.9091236666666667,2.7273709999999998,0.768052,1.048362,3,7.188607,21.565821,5.69954,8.962541
DDEE,adaptive,1,3,3,3.865541298,11.596623894,3.317760114,4.458892866,3,77.17183968666666,231.51551906,55.093091264,106.070538398,3,0.18322203866666667,0.549666116,0.16540852,0.215037938,3,81.22060302333334,243.66180907,58.580071036,110.055917832,3,0.148780902,0.446342706,0.14060769,0.154404063,3,174,522,132,234,3,34.133919260666666,102.40175778199999,32.947621297,34.91738861899999,3,5.952432,17.857295999999998,4.137074999999999,7.289441,3,35.31358433333333,105.940753,16.377351,62.529144
DDEE,adaptive,2,3,3,3.3359036233333335,10.00771087,2.938102731,3.600190903,3,90.68058986533333,272.041769596,88.867694851,94.003345837,3,0.17715016,0.53145048,0.170198288,0.190240571,3,94.19364364866667,282.58093094599997,91.996038153,97.774548361,3,0.14863793233333333,0.445913797,0.134850277,0.165197904,3,157.66666666666666,473,132,182,3,35.15202013333333,105.4560604,34.249543598,36.076802512,3,5.980912,17.942736,5.220068,6.487433,3,47.71934666666667,143.15804,44.815233,52.746785
DDEE,adaptive,3,3,3,2.538496708333333,7.615490125,2.321071946,2.730644797,3,76.078436234,228.235308702,72.835212411,79.742995053,3,0.182912601,0.548737803,0.175999005,0.189651611,3,78.79984554333333,236.39953663,75.574984798,82.247154186,3,0.165545023,0.496635069,0.143387325,0.18787392,3,156.66666666666666,470,132,182,3,34.207159581,102.621478743,31.836906202999998,35.782199963,3,5.509464333,16.528392999,5.251162,5.853792,3,34.164774,102.49432200000001,31.039061000000004,37.41099
DDEE,large,1,3,3,3.3943884103333333,10.183165231,2.364263624,5.241909736,3,71.51367983766667,214.541039513,45.173537024,122.447603722,3,0.2731232733333333,0.81936982,0.192361998,0.330198028,3,75.18119152133333,225.543574564,49.614360419,125.321405387,3,0.24274640966666666,0.728239229,0.234974294,0.253093857,3,157.33333333333334,472,131,182,3,24.56493396533333,73.694801896,22.924139822,27.725919950999998,3,5.900341333333333,17.701024,4.264174,8.314345,3,39.152468666666664,117.45740599999999,15.400434999999998,83.93637199999999
DDEE,large,2,3,3,2.453370763,7.360112289,2.403301871,2.516608783,3,93.34964753533333,280.04894260599997,83.218556091,104.543972646,3,0.18691183933333333,0.560735518,0.181383149,0.193675805,3,95.98993013766666,287.969790413,85.852433531,107.128657666,3,0.24344546,0.73033638,0.228447283,0.263198904,3,174.66666666666666,524,131,234,3,25.49274239,76.47822717,24.992925447999998,26.13715618,3,6.003249999666667,18.009749999,4.9047859990000005,7.049405,3,60.27885033333334,180.83655100000001,50.170368999999994,71.98707200000001
