arm,purpose,actual_model,observed_rows,gpu_allocation_fraction_known_count,gpu_allocation_fraction_mean,gpu_allocation_fraction_sum,gpu_allocation_fraction_min,gpu_allocation_fraction_max,loaded_bytes_known_count,loaded_bytes_mean,loaded_bytes_sum,loaded_bytes_min,loaded_bytes_max,gpu_allocated_bytes_known_count,gpu_allocated_bytes_mean,gpu_allocated_bytes_sum,gpu_allocated_bytes_min,gpu_allocated_bytes_max,output_tokens_known_count,output_tokens_mean,output_tokens_sum,output_tokens_min,output_tokens_max,prompt_tokens_known_count,prompt_tokens_mean,prompt_tokens_sum,prompt_tokens_min,prompt_tokens_max
adaptive,generation,qwen3:0.6b,54,54,1.0,54.0,1.0,1.0,54,693423308,37444858632,693423308,693423308,54,693423308,37444858632,693423308,693423308,54,32.370370370370374,1748,18,55,54,419.68518518518516,22663,342,557
adaptive,generation,qwen3:1.7b,90,90,0.6083915950172107,54.755243551549,0.5407274430786109,0.6883525712793486,90,1658822297.4222221,149294006768,1658815773,1658826259,90,1009213621.6444445,90829225948,896972881,1141857320,90,51.08888888888889,4598,18,108,90,444.8666666666667,40038,314,598
adaptive,memory_selector,qwen3:0.6b,36,36,1.0,36.0,1.0,1.0,36,693423308,24963239088,693423308,693423308,36,693423308,24963239088,693423308,693423308,36,13,468,13,13,36,743.0833333333334,26751,740,771
adaptive,memory_selector,qwen3:1.7b,57,57,0.6073107888700137,34.616714965590766,0.5407274430786109,0.6883525712793486,57,1658820923.7894738,94552792656,1658815773,1658826259,57,1007419943.4561404,57422936777,896972881,1141857320,57,13.842105263157896,789,13,17,57,674.6666666666666,38456,270,791
large,generation,qwen3:1.7b,144,144,0.5933301049926597,85.43953511894313,0.4908689803011657,0.662442003615788,144,1658822763.5555556,238870477952,1658815773,1658826259,144,984229550.8611112,141729055324,814261207,1098876190,144,45.40972222222222,6539,17,150,144,431.34027777777777,62113,314,563
large,memory_selector,qwen3:1.7b,93,93,0.5870552419950259,54.5961375055374,0.4908689803011657,0.662442003615788,93,1658821974.2795699,154270443608,1658815773,1658826259,93,973820197.8387097,90565278399,814261207,1098876190,93,13.516129032258064,1257,13,17,93,702.2688172043011,65311,270,791
replay,generation,qwen3:0.6b,54,54,1.0,54.0,1.0,1.0,54,693423308,37444858632,693423308,693423308,54,693423308,37444858632,693423308,693423308,54,32.370370370370374,1748,18,55,54,419.68518518518516,22663,342,557
replay,generation,qwen3:1.7b,90,90,0.599456515636623,53.951086407296074,0.5148201294562925,0.662442003615788,90,1658824045.211111,149294164069,1658815773,1658826259,90,994392931.9555556,89495363876,853991751,1098876190,90,54.266666666666666,4884,18,114,90,444.8666666666667,40038,314,598
small,generation,qwen3:0.6b,144,144,1.0,144.0,1.0,1.0,144,693423308,99852956352,693423308,693423308,144,693423308,99852956352,693423308,693423308,144,44.104166666666664,6351,18,105,144,449.0416666666667,64662,342,582
small,memory_selector,qwen3:0.6b,93,93,1.0,93.0,1.0,1.0,93,693423308,64488367644,693423308,693423308,93,693423308,64488367644,693423308,693423308,93,13.516129032258064,1257,13,17,93,700.8064516129032,65175,293,791
