arm,purpose,actual_model,observed_rows,gpu_allocation_fraction_known_count,gpu_allocation_fraction_mean,gpu_allocation_fraction_sum,gpu_allocation_fraction_min,gpu_allocation_fraction_max,loaded_bytes_known_count,loaded_bytes_mean,loaded_bytes_sum,loaded_bytes_min,loaded_bytes_max,gpu_allocated_bytes_known_count,gpu_allocated_bytes_mean,gpu_allocated_bytes_sum,gpu_allocated_bytes_min,gpu_allocated_bytes_max,output_tokens_known_count,output_tokens_mean,output_tokens_sum,output_tokens_min,output_tokens_max,prompt_tokens_known_count,prompt_tokens_mean,prompt_tokens_sum,prompt_tokens_min,prompt_tokens_max
adaptive,generation,qwen3:0.6b,12,12,1.0,12.0,1.0,1.0,12,693423308,8321079696,693423308,693423308,12,693423308,8321079696,693423308,693423308,12,32.583333333333336,391,18,55,12,407.75,4893,342,501
adaptive,generation,qwen3:1.7b,12,12,0.6384910053967747,7.6618920647612985,0.6145400071099308,0.662442003615788,12,1658826258.6666667,19905915104,1658826258,1658826259,12,1059145645.6666666,12709747748,1019415101,1098876190,12,59,708,30,100,12,440.9166666666667,5291,338,514
adaptive,memory_selector,qwen3:0.6b,10,10,1.0,10.0,1.0,1.0,10,693423308,6934233080,693423308,693423308,10,693423308,6934233080,693423308,693423308,10,13,130,13,13,10,740.6,7406,740,741
adaptive,memory_selector,qwen3:1.7b,7,7,0.6350694341838696,4.445486039287087,0.6145400071099308,0.662442003615788,7,1658826258.5714285,11611783810,1658826258,1658826259,7,1053469853.4285715,7374288974,1019415101,1098876190,7,13.571428571428571,95,13,17,7,705.7142857142857,4940,270,791
large,generation,qwen3:1.7b,24,24,0.6055776937277884,14.533864649466917,0.4908689803011657,0.662442003615788,24,1658822763.5,39811746324,1658815773,1658826259,24,1004546293.5,24109111044,814261207,1098876190,24,45.333333333333336,1088,22,100,24,416.7916666666667,10003,314,514
large,memory_selector,qwen3:1.7b,17,17,0.5920251536128338,10.064427611418171,0.4908689803011657,0.662442003615788,17,1658821324.235294,28199962512,1658815773,1658826259,17,982064207.2352941,16695091523,814261207,1098876190,17,13.235294117647058,225,13,17,17,726.2352941176471,12346,270,791
replay,generation,qwen3:0.6b,12,12,1.0,12.0,1.0,1.0,12,693423308,8321079696,693423308,693423308,12,693423308,8321079696,693423308,693423308,12,32.583333333333336,391,18,55,12,407.75,4893,342,501
replay,generation,qwen3:1.7b,12,12,0.6384910053967747,7.6618920647612985,0.6145400071099308,0.662442003615788,12,1658826258.6666667,19905915104,1658826258,1658826259,12,1059145645.6666666,12709747748,1019415101,1098876190,12,62,744,30,107,12,440.9166666666667,5291,338,514
small,generation,qwen3:0.6b,28,28,1.0,28.0,1.0,1.0,28,693423308,19415852624,693423308,693423308,28,693423308,19415852624,693423308,693423308,28,43.714285714285715,1224,18,105,28,439.39285714285717,12303,342,579
small,memory_selector,qwen3:0.6b,18,18,1.0,18.0,1.0,1.0,18,693423308,12481619544,693423308,693423308,18,693423308,12481619544,693423308,693423308,18,13.444444444444445,242,13,17,18,707.7222222222222,12739,293,791
