pattern,arm,repetition,observed_rows,startup_seconds_known_count,startup_seconds_mean,startup_seconds_sum,startup_seconds_min,startup_seconds_max,request_seconds_known_count,request_seconds_mean,request_seconds_sum,request_seconds_min,request_seconds_max,sequence_gaps_seconds_known_count,sequence_gaps_seconds_mean,sequence_gaps_seconds_sum,sequence_gaps_seconds_min,sequence_gaps_seconds_max,sequence_seconds_known_count,sequence_seconds_mean,sequence_seconds_sum,sequence_seconds_min,sequence_seconds_max,cleanup_seconds_known_count,cleanup_seconds_mean,cleanup_seconds_sum,cleanup_seconds_min,cleanup_seconds_max,generation_output_tokens_all_calls_known_count,generation_output_tokens_all_calls_mean,generation_output_tokens_all_calls_sum,generation_output_tokens_all_calls_min,generation_output_tokens_all_calls_max,all_backend_load_duration_seconds_known_count,all_backend_load_duration_seconds_mean,all_backend_load_duration_seconds_sum,all_backend_load_duration_seconds_min,all_backend_load_duration_seconds_max,all_backend_prompt_eval_duration_seconds_known_count,all_backend_prompt_eval_duration_seconds_mean,all_backend_prompt_eval_duration_seconds_sum,all_backend_prompt_eval_duration_seconds_min,all_backend_prompt_eval_duration_seconds_max,all_backend_eval_duration_seconds_known_count,all_backend_eval_duration_seconds_mean,all_backend_eval_duration_seconds_sum,all_backend_eval_duration_seconds_min,all_backend_eval_duration_seconds_max
DDDD,adaptive,1,3,3,2.7934274390000002,8.380282317,2.270411718,3.108900428,3,112.25207224266667,336.756216728,102.977983775,123.147000162,3,0.17770971533333332,0.533129146,0.17122093,0.182843385,3,115.223209397,345.669628191,106.258105133,126.330813718,3,0.20876131533333334,0.626283946,0.204285786,0.213084961,3,236,708,173,311,3,24.029804065666667,72.089412197,22.692526408,25.922388455,3,3.443565,10.330695,2.1426000000000003,4.1303339999999995,3,83.303582,249.91074600000002,73.673737,94.904375
DDDD,large,1,3,3,2.366705161,7.100115483,2.299648679,2.43373368,3,116.29529245233334,348.885877357,112.28012635,118.982166035,3,0.16031055,0.48093165,0.15660254,0.166909359,3,118.82230816333333,356.46692449,114.746684388,121.50631891,3,0.22598833,0.67796499,0.208638658,0.248964891,3,235.33333333333334,706,171,311,3,23.982356269333334,71.947068808,23.609180959999996,24.39070604,3,3.393787333333333,10.181362,1.8128309999999999,4.291202,3,87.53027566666667,262.590827,82.81698399999999,91.66491
DDDD,replay,1,3,3,2.7433724373333335,8.230117312,2.403122612,3.203582925,3,105.162566939,315.487700817,72.37055961,122.090382544,3,0.16674593166666668,0.500237795,0.156480682,0.175884232,3,108.072685308,324.218055924,75.161844266,124.649985838,3,0.20359743666666666,0.61079231,0.19680577,0.209079582,3,248,744,173,347,3,24.37546414766667,73.126392443,23.281586665000003,25.847626959,3,2.2465976666666667,6.739793000000001,1.9646510000000001,2.563355,3,77.63259233333332,232.89777699999996,46.388288,94.63286799999999
DDDD,small,1,3,3,2.4676642786666667,7.402992836,2.290950246,2.771821618,3,18.602275003333332,55.80682501,16.824310943,19.961949721,3,0.15879614333333333,0.47638843,0.140133756,0.173336732,3,21.228735425333333,63.68620627600001,19.288597921,22.442304449,3,0.14300239166666667,0.42900717499999996,0.126164757,0.160251934,3,233.33333333333334,700,170,336,3,8.817144709,26.451434127000002,8.473838312,9.265086231000002,3,1.009681,3.0290429999999997,0.55556,1.358836,3,7.46358,22.39074,5.621410000000001,9.580949
EDED,large,1,1,1,2.344000993,2.344000993,2.344000993,2.344000993,1,85.506859618,85.506859618,85.506859618,85.506859618,1,0.150828936,0.150828936,0.150828936,0.150828936,1,88.001689547,88.001689547,88.001689547,88.001689547,1,0.213543521,0.213543521,0.213543521,0.213543521,1,225,225,225,225,1,22.891343525999996,22.891343525999996,22.891343525999996,22.891343525999996,1,3.1671759990000004,3.1671759990000004,3.1671759990000004,3.1671759990000004,1,58.587313,58.587313,58.587313,58.587313
EDED,small,1,1,1,2.885781078,2.885781078,2.885781078,2.885781078,1,15.208237155,15.208237155,15.208237155,15.208237155,1,0.183375683,0.183375683,0.183375683,0.183375683,1,18.277393916,18.277393916,18.277393916,18.277393916,1,0.132929175,0.132929175,0.132929175,0.132929175,1,133,133,133,133,1,9.2854133,9.2854133,9.2854133,9.2854133,1,0.863891,0.863891,0.863891,0.863891,1,4.2866219999999995,4.2866219999999995,4.2866219999999995,4.2866219999999995
EEEE,adaptive,1,3,3,3.6766903716666666,11.030071115,2.671710626,4.556061971,3,16.989500939666666,50.968502819,16.893653579,17.168083147,3,0.16552676633333333,0.496580299,0.161939029,0.168383012,3,20.831718077666665,62.495154233,20.008176785,21.629086322,3,0.14309825466666667,0.429294764,0.122324784,0.162426059,3,130.33333333333334,391,120,136,3,9.889287539333333,29.667862617999997,9.416452784999999,10.246961922999999,3,0.8339306666666667,2.501792,0.7709800000000001,0.9165000000000001,3,4.8375726666666665,14.512718,4.507978,5.207416
EEEE,large,1,3,3,2.61574574,7.84723722,2.436347093,2.862677595,3,97.08261070233334,291.247832107,87.366539696,113.785415302,3,0.17413774666666668,0.52241324,0.168634481,0.179840986,3,99.872494189,299.61748256699997,89.976824562,116.816727378,3,0.22992481366666667,0.689774441,0.21789849,0.240006167,3,127.33333333333333,382,98,175,3,24.72155393466667,74.164661804,23.170170936,27.259731638,3,6.237578999666667,18.712736999,4.744676,7.672439,3,64.63009533333333,193.890286,55.847087,77.298552
EEEE,replay,1,3,3,2.443342082,7.330026245999999,2.375387045,2.521500474,3,13.671906808333333,41.015720425,13.591786645,13.788561285,3,0.15379561833333333,0.46138685500000004,0.147898645,0.161702808,3,16.269044508666667,48.807133526,16.172462348,16.457960404,3,0.16658260466666666,0.499747814,0.129499299,0.228304513,3,130.33333333333334,391,120,136,3,8.867916074666667,26.603748224,8.744818446,9.049829852999999,3,0.45884033333333335,1.3765209999999999,0.39364699999999997,0.551436,3,3.663828333333333,10.991484999999999,3.448928,3.772083
EEEE,small,1,3,3,2.5528084476666666,7.658425343,2.37325585,2.785508094,3,16.211230680666667,48.633692042,15.437189061,17.597038417,3,0.16720041566666666,0.501601247,0.157696741,0.182588917,3,18.931239544,56.793718632,17.9717605,20.565135428,3,0.16009666366666667,0.48028999099999997,0.156967047,0.164544833,3,130.33333333333334,391,120,136,3,9.108327043333334,27.32498113,8.742561432,9.818049335,3,0.9275346663333334,2.782603999,0.7977369999999999,1.074874,3,4.771400666666667,14.314202000000002,4.448989,5.148896
