sequence_id,pattern,arm,repetition,attempt_directory,status,attempted_turns,complete,accounting_ok,startup_seconds,request_seconds,sequence_seconds,sequence_gaps_seconds,envelope_seconds,cleanup_seconds,delivered,resident_models_after_cleanup,error,cleanup_errors,source_freeze,selected_model_sequence,actual_generator_sequence,all_actual_generator_calls,workload_label_sequence,model_decision_sources,memory_decision_sources,return_to_small_turns,transitions_with_no_following_observation,quality_reviewed_turns,correct_delivered_turns,generation_output_tokens_all_calls,classifier_output_tokens,all_backend_output_tokens,backend_generation_calls,backend_classifier_calls,all_backend_load_duration_seconds,all_backend_prompt_eval_duration_seconds,all_backend_eval_duration_seconds,all_backend_total_duration_seconds,generation_backend_load_duration_seconds,generation_backend_prompt_eval_duration_seconds,generation_backend_eval_duration_seconds,generation_backend_total_duration_seconds,classifier_backend_load_duration_seconds,classifier_backend_prompt_eval_duration_seconds,classifier_backend_eval_duration_seconds,classifier_backend_total_duration_seconds,residency_audit_seconds,request_plus_startup_seconds,completion_eligibility_note
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,complete,4,True,True,3.000970171,123.147000162,126.330813718,0.182843385,127.331060156,0.213084961,4,[],,[],v1,"[""large"", ""large"", ""large"", ""large""]","[""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b""]","[[""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""]]","[""D"", ""D"", ""D"", ""D""]","[""lightweight_large"", ""lightweight_large"", ""lightweight_large"", ""lightweight_large""]","[""policy_general"", ""resident_model"", ""resident_model"", ""resident_model""]",[],[],0,,224,39,263,4,3,22.692526408,4.057761,94.904375,122.23361886800001,22.685050352,2.3571429999999998,77.31929099999999,102.690683586,0.007476056,1.700618,17.585084000000002,19.542935282000002,0.05282562699999999,126.147970333,
ro_dddd_1,DDDD,large,1,ro_dddd_1_r1_large,complete,4,True,True,2.299648679,112.28012635,114.746684388,0.166909359,115.696668708,0.220361441,4,[],,[],v1,"[""large"", ""large"", ""large"", ""large""]","[""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b""]","[[""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""]]","[""D"", ""D"", ""D"", ""D""]","[""fixed_generator"", ""fixed_generator"", ""fixed_generator"", ""fixed_generator""]","[""policy_general"", ""fixed_model"", ""fixed_model"", ""fixed_model""]",[],[],0,,224,39,263,4,3,23.947181808,4.077329,82.81698399999999,111.46000648100001,23.939265008999996,2.33859,70.321754,96.922880932,0.007916798999999999,1.738739,12.49523,14.537125549,0.056903832,114.579775029,
ro_dddd_1,DDDD,replay,1,ro_dddd_1_r1_replay,complete,4,True,True,3.203582925,121.026758663,124.40622582,0.175884232,125.335005996,0.19680577,4,[],,[],v1,"[""large"", ""large"", ""large"", ""large""]","[""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b""]","[[""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""]]","[""D"", ""D"", ""D"", ""D""]","[""lightweight_large"", ""lightweight_large"", ""lightweight_large"", ""lightweight_large""]","[""policy_general"", ""resident_model"", ""resident_model"", ""resident_model""]",[],[],0,,224,0,224,4,0,25.847626959,2.563355,91.87662099999999,120.464627746,25.847626959,2.563355,91.87662099999999,120.464627746,0,0,0,0,0.031284461,124.230341588,
ro_dddd_1,DDDD,small,1,ro_dddd_1_r1_small,complete,4,True,True,2.290950246,16.824310943,19.288597921,0.173336732,20.167834439,0.160251934,4,[],,[],v1,"[""small"", ""small"", ""small"", ""small""]","[""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b""]","[[""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""]]","[""D"", ""D"", ""D"", ""D""]","[""fixed_generator"", ""fixed_generator"", ""fixed_generator"", ""fixed_generator""]","[""policy_general"", ""fixed_model"", ""fixed_model"", ""fixed_model""]",[],[],0,,170,39,209,4,3,8.473838312,1.358836,5.621410000000001,15.965020193,8.466123918999997,0.729246,4.4965530000000005,13.965378899000001,0.007714393,0.62959,1.124857,1.999641294,0.05572286,19.115261189,
ro_dddd_2,DDDD,adaptive,1,ro_dddd_2_r1_adaptive,complete,4,True,True,3.108900428,102.977983775,106.258105133,0.17122093,107.192900981,0.208913199,4,[],,[],v1,"[""large"", ""large"", ""large"", ""large""]","[""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b""]","[[""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""]]","[""D"", ""D"", ""D"", ""D""]","[""lightweight_large"", ""lightweight_large"", ""lightweight_large"", ""lightweight_large""]","[""resident_model"", ""resident_model"", ""resident_model"", ""resident_model""]",[],[],0,,173,56,229,4,4,23.474497334,4.1303339999999995,73.673737,101.911463911,0.009283879,2.043936,54.630642,57.050102093999996,23.465213455000004,2.086398,19.043095,44.861361817,0.072174213,106.086884203,
ro_dddd_2,DDDD,large,1,ro_dddd_2_r1_large,complete,4,True,True,2.43373368,117.623584972,120.213921192,0.15660254,121.289360479,0.248964891,4,[],,[],v1,"[""large"", ""large"", ""large"", ""large""]","[""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b""]","[[""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""]]","[""D"", ""D"", ""D"", ""D""]","[""fixed_generator"", ""fixed_generator"", ""fixed_generator"", ""fixed_generator""]","[""fixed_model"", ""fixed_model"", ""fixed_model"", ""fixed_model""]",[],[],0,,171,56,227,4,4,23.609180959999996,4.291202,88.108933,116.66263926399999,0.010814788999999998,1.944709,60.967892000000006,63.320716406,23.598366171,2.3464929999999997,27.141041,53.341922858,0.06992570299999999,120.057318652,
ro_dddd_2,DDDD,replay,1,ro_dddd_2_r1_replay,complete,4,True,True,2.623411775,72.37055961,75.161844266,0.167872881,76.104871163,0.204906958,4,[],,[],v1,"[""large"", ""large"", ""large"", ""large""]","[""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b""]","[[""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""]]","[""D"", ""D"", ""D"", ""D""]","[""lightweight_large"", ""lightweight_large"", ""lightweight_large"", ""lightweight_large""]","[""resident_model"", ""resident_model"", ""resident_model"", ""resident_model""]",[],[],0,,173,0,173,4,0,23.281586665000003,1.9646510000000001,46.388288,71.74226082700001,23.281586665000003,1.9646510000000001,46.388288,71.74226082700001,0,0,0,0,0.031209436,74.993971385,
ro_dddd_2,DDDD,small,1,ro_dddd_2_r1_small,complete,4,True,True,2.771821618,19.020564346,21.955303906,0.162917942,22.8138407,0.126164757,4,[],,[],v1,"[""small"", ""small"", ""small"", ""small""]","[""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b""]","[[""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""]]","[""D"", ""D"", ""D"", ""D""]","[""fixed_generator"", ""fixed_generator"", ""fixed_generator"", ""fixed_generator""]","[""fixed_model"", ""fixed_model"", ""fixed_model"", ""fixed_model""]",[],[],0,,194,56,250,4,4,9.265086231000002,1.114647,7.188381000000001,18.016682759,0.008856378,0.381309,5.544096000000001,6.197731576999999,9.256229853,0.7333379999999999,1.6442850000000002,11.818951182,0.073760488,21.792385964,
ro_dddd_3,DDDD,large,1,ro_dddd_3_r1_large,interrupted,4,True,True,2.366733124,118.982166035,121.50631891,0.157419751,122.453557373,0.208638658,3,[],"{""message"": ""robot response omits requested temporal memory detail"", ""type"": ""ResponseValidationError""}",[],v1,"[""large"", ""large"", ""large"", ""large""]","[""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b"", ""qwen3:1.7b""]","[[""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""], [""qwen3:1.7b""]]","[""D"", ""D"", ""D"", ""D""]","[""fixed_generator"", ""fixed_generator"", ""fixed_generator"", ""fixed_generator""]","[""policy_personal"", ""policy_personal"", ""policy_personal"", ""policy_personal""]",[],[],0,,311,0,311,4,0,24.39070604,1.8128309999999999,91.66491,118.00070738899998,24.39070604,1.8128309999999999,91.66491,118.00070738899998,0,0,0,0,0.036031969,121.34889915900001,All four turns observed; final validation failure retained; original interrupted status unchanged.
ro_dddd_3,DDDD,small,1,ro_dddd_3_r1_small,complete,4,True,True,2.340220972,19.961949721,22.442304449,0.140133756,23.317809814,0.142590484,4,[],,[],v1,"[""small"", ""small"", ""small"", ""small""]","[""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b"", ""qwen3:0.6b""]","[[""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""], [""qwen3:0.6b""]]","[""D"", ""D"", ""D"", ""D""]","[""fixed_generator"", ""fixed_generator"", ""fixed_generator"", ""fixed_generator""]","[""policy_personal"", ""policy_personal"", ""policy_personal"", ""policy_personal""]",[],[],0,,336,0,336,4,0,8.712509584,0.55556,9.580949,18.934314637000004,8.712509584,0.55556,9.580949,18.934314637000004,0,0,0,0,0.033303525,22.302170693,
