attempt_directory,sequence_id,pattern,arm,repetition,id,index,status,workload_label,request_wall_seconds,selected_model_size,model_decision_source,memory_required,memory_decision_source,actual_final_generator,all_generator_calls,backend_generation_calls,requested_generation_calls,backend_classifier_calls,generation_tokens_known_calls,generation_output_tokens_all_calls,final_generation_output_tokens,classifier_output_tokens,all_backend_output_tokens,final_generator_gpu_allocation_fraction,residency_before,residency_after,residency_condition,previous_generator,following_turn_of_condition,return_to_small,after_small_return,first_backend_caller,application_answer_constraint,literal_speech_schema_constrained,generation_policy,fallback_from_model,quality_label,correct,all_backend_load_duration_seconds,all_backend_prompt_eval_duration_seconds,all_backend_eval_duration_seconds,all_backend_total_duration_seconds,generation_backend_load_duration_seconds,generation_backend_prompt_eval_duration_seconds,generation_backend_eval_duration_seconds,generation_backend_total_duration_seconds,classifier_backend_load_duration_seconds,classifier_backend_prompt_eval_duration_seconds,classifier_backend_eval_duration_seconds,classifier_backend_total_duration_seconds,exclusive_unaccounted_seconds,exclusive_other_instrumented_seconds,exclusive_deterministic_routing_and_bookkeeping_seconds,exclusive_answer_generation_seconds,exclusive_eviction_seconds,exclusive_residency_audit_seconds,exclusive_validation_seconds,exclusive_memory_classifier_seconds,exclusive_retrieval_seconds
ro_dddd_1_r1_adaptive,ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_t1,1,ok,D,42.232276798,large,lightweight_large,False,policy_general,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,0,1,55,55,0,55,0.662442003615788,[],"[""qwen3:1.7b""]",cold_start,,,False,False,generation,False,False,,,,,22.678498764,0.75676,18.572858,42.022626367,22.678498764,0.75676,18.572858,42.022626367,0,0,0,0,0.004327864,0.030234372,0.032388657,42.121706619,0.027386059,0.009394143,0.006839084,,
ro_dddd_1_r1_adaptive,ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_t2,2,ok,D,40.074960117,large,lightweight_large,False,resident_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,88,88,13,101,0.662442003615788,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,memory_selector,False,False,,,,,0.005367981000000001,1.658757,38.009378999999996,39.834865584999996,0.002234221,0.474142,34.004405,34.590516335,0.00313376,1.184615,4.004974,5.24434925,0.005009094,0.025549513,0.032551929,34.669822883,,0.014448839,0.004144629,5.32343323,
ro_dddd_1_r1_adaptive,ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_t3,3,ok,D,16.116710441,large,lightweight_large,False,resident_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,43,43,13,56,0.662442003615788,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,memory_selector,False,False,,,,,0.004146612,0.875588,14.806598999999999,15.889494359,0.002035273,0.580073,10.369133,11.051129633,0.002111339,0.295515,4.437466,4.838364726,0.005653492,0.021641979,0.03334254,11.125646105,,0.01546755,0.005923162,4.909035613,
ro_dddd_1_r1_adaptive,ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_t4,4,ok,D,24.723052806,large,lightweight_large,False,resident_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,38,38,13,51,0.662442003615788,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,memory_selector,False,False,,,,,0.0045130510000000006,0.766656,23.515539,24.486632557,0.002282094,0.546168,14.372895,15.026411251,0.002230957,0.220488,9.142644,9.460221306,0.00518849,0.023619525,0.027984638,15.106809896,,0.013515095,0.005025,9.540910162,
ro_dddd_1_r1_large,ro_dddd_1,DDDD,large,1,ro_dddd_1_t1,1,ok,D,53.748296533,large,fixed_generator,False,policy_general,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,0,1,55,55,0,55,0.6384910054646055,[],"[""qwen3:1.7b""]",cold_start,,,False,False,generation,False,False,fixed_generator,,,,23.932819343,0.770177,28.88695,53.602596452,23.932819343,0.770177,28.88695,53.602596452,0,0,0,0,0.005649329,0.025528026,0.020789468,53.68128032,,0.008713583,0.006335807,,
ro_dddd_1_r1_large,ro_dddd_1,DDDD,large,1,ro_dddd_1_t2,2,ok,D,20.512820514,large,fixed_generator,False,fixed_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,88,88,13,101,0.6384910054646055,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,memory_selector,False,False,fixed_generator,,,,0.004379544,1.715944,18.357627,20.280886334,0.001840997,0.453819,16.900219,17.461917265,0.002538547,1.262125,1.457408,2.818969069,0.004628573,0.023276306,0.019215904,17.544278563,,0.014956652,0.007747804,2.898716712,
ro_dddd_1_r1_large,ro_dddd_1,DDDD,large,1,ro_dddd_1_t3,3,ok,D,18.736951574,large,fixed_generator,False,fixed_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,43,43,13,56,0.6384910054646055,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,memory_selector,False,False,fixed_generator,,,,0.005099175,0.8808860000000001,17.425379,18.508314435,0.001857638,0.623275,11.580248,12.304170564,0.003241537,0.257611,5.845131,6.204143871,0.004664574,0.021897178,0.020783392,12.38266203,,0.017549121,0.004816993,6.284578286,
ro_dddd_1_r1_large,ro_dddd_1,DDDD,large,1,ro_dddd_1_t4,4,ok,D,19.282057729,large,fixed_generator,False,fixed_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,1,1,38,38,13,51,0.6384910054646055,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,memory_selector,False,False,fixed_generator,,,,0.004883746,0.710322,18.147028,19.06820926,0.002747031,0.491319,12.954337,13.554196651,0.002136715,0.219003,5.192691,5.514012609,0.006408033,0.023925827,0.017590626,13.626645056,,0.015684476,0.005472014,5.586331697,
ro_dddd_1_r1_replay,ro_dddd_1,DDDD,replay,1,ro_dddd_1_t1,1,ok,D,63.305060091,large,lightweight_large,False,policy_general,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,0,1,55,55,0,55,0.6384910054646055,[],"[""qwen3:1.7b""]",cold_start,,,False,False,generation,False,False,,,,,25.840000305,0.851589,36.437693,63.142135473,25.840000305,0.851589,36.437693,63.142135473,0,0,0,0,0.005170764,0.02560533,0.013828733,63.228255877,0.018160567,0.007889412,0.006149408,,
ro_dddd_1_r1_replay,ro_dddd_1,DDDD,replay,1,ro_dddd_1_t2,2,ok,D,30.399399318,large,lightweight_large,False,resident_model,qwen3:1.7b,"[""qwen3:1.7b""]",1,1,0,1,88,88,0,88,0.6384910054646055,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,generation,False,False,,,,,0.002611158,0.48043,29.745423,30.271217453,0.002611158,0.48043,29.745423,30.271217453,0,0,0,0,0.005999933,0.023541064,0.012999822,30.343371305,,0.006694668,0.006792526,,
