comparator,pattern,sequence_clusters,complete_three_repetition_clusters,mean_adaptive_minus_comparator_seconds,cluster_min_seconds,cluster_max_seconds,descriptive_cluster_bootstrap_95_low,descriptive_cluster_bootstrap_95_high
small,overall,12,12,45.579243182111114,0.16288884866666584,73.64389494266666,42.24732517334097,48.687000895611106
small,DDDD,3,3,65.95442303055556,62.372871014,68.946708765,62.372871014,68.946708765
small,DDEE,3,3,64.43637263077778,56.64351878766667,73.64389494266666,56.64351878766667,73.64389494266666
small,EDED,3,3,51.09495960433333,38.736000556,59.40596175866666,38.736000556,59.40596175866666
small,EEEE,3,3,0.8312174627777773,0.16288884866666584,1.354004167666666,0.16288884866666584,1.354004167666666
large,overall,12,12,-12.759698097916669,-52.03125722666667,14.445239927000001,-16.646326809738195,-9.222448261040968
large,DDDD,3,3,-3.682240736555557,-6.934561230000003,0.8034961330000007,-6.934561230000003,0.8034961330000007
large,DDEE,3,3,5.557974736555556,-3.7384080413333343,14.445239927000001,-3.7384080413333343,14.445239927000001
large,EDED,3,3,-2.0028904013333357,-16.88831977533334,6.464849938333333,-16.88831977533334,6.464849938333333
large,EEEE,3,3,-50.91163599033334,-52.03125722666667,-49.258586759,-52.03125722666667,-49.258586759
replay,overall,12,12,8.260576036694443,-9.61000869833333,29.39195571033333,3.2792911963166675,13.101384414644446
replay,DDDD,3,3,4.346641176777778,-9.61000869833333,18.793711262333332,-9.61000869833333,18.793711262333332
replay,DDEE,3,3,20.104235126444443,4.908255455,29.39195571033333,4.908255455,29.39195571033333
replay,EDED,3,3,5.965062687666666,0.3355281283333322,16.420705076,0.3355281283333322,16.420705076
replay,EEEE,3,3,2.626365155888889,2.039055366666666,3.0443337469999996,2.039055366666666,3.0443337469999996
