comparator,sequence_id,pattern,timing_repetitions,mean_adaptive_minus_comparator_seconds
large,ro_dddd_1,DDDD,3,-6.934561230000003
large,ro_dddd_2,DDDD,3,0.8034961330000007
large,ro_dddd_3,DDDD,3,-4.915657112666669
large,ro_ddee_1,DDEE,3,-3.7384080413333343
large,ro_ddee_2,DDEE,3,14.445239927000001
large,ro_ddee_3,DDEE,3,5.967092324000002
large,ro_eded_1,EDED,3,6.464849938333333
large,ro_eded_2,EDED,3,-16.88831977533334
large,ro_eded_3,EDED,3,4.414798632999999
large,ro_eeee_1,EEEE,3,-52.03125722666667
large,ro_eeee_2,EEEE,3,-51.445063985333334
large,ro_eeee_3,EEEE,3,-49.258586759
replay,ro_dddd_1,DDDD,3,-9.61000869833333
replay,ro_dddd_2,DDDD,3,18.793711262333332
replay,ro_dddd_3,DDDD,3,3.856220966333332
replay,ro_ddee_1,DDEE,3,29.39195571033333
replay,ro_ddee_2,DDEE,3,26.012494214
replay,ro_ddee_3,DDEE,3,4.908255455
replay,ro_eded_1,EDED,3,1.138954858666665
replay,ro_eded_2,EDED,3,16.420705076
replay,ro_eded_3,EDED,3,0.3355281283333322
replay,ro_eeee_1,EEEE,3,2.7957063540000013
replay,ro_eeee_2,EEEE,3,2.039055366666666
replay,ro_eeee_3,EEEE,3,3.0443337469999996
small,ro_dddd_1,DDDD,3,68.946708765
small,ro_dddd_2,DDDD,3,66.54368931266667
small,ro_dddd_3,DDDD,3,62.372871014
small,ro_ddee_1,DDEE,3,73.64389494266666
small,ro_ddee_2,DDEE,3,63.021704162
small,ro_ddee_3,DDEE,3,56.64351878766667
small,ro_eded_1,EDED,3,55.142916498333335
small,ro_eded_2,EDED,3,59.40596175866666
small,ro_eded_3,EDED,3,38.736000556
small,ro_eeee_1,EEEE,3,0.16288884866666584
small,ro_eeee_2,EEEE,3,0.9767593720000001
small,ro_eeee_3,EEEE,3,1.354004167666666
