sequence_id,pattern,repetition,comparator,adaptive_seconds,comparator_seconds,adaptive_minus_comparator_seconds,adaptive_startup_minus_comparator_seconds,adaptive_requests_minus_comparator_seconds
ro_dddd_1,DDDD,1,small,126.330813718,19.288597921,107.042215797,0.7100199250000001,106.322689219
ro_dddd_1,DDDD,1,large,126.330813718,114.746684388,11.584129329999996,0.7013214919999999,10.866873811999994
ro_dddd_1,DDDD,1,replay,126.330813718,124.40622582,1.9245878979999986,-0.202612754,2.1202414990000022
ro_dddd_1,DDDD,2,small,48.153284174,21.538678796,26.614605378,-2.394434522,29.070074804
ro_dddd_1,DDDD,2,large,48.153284174,47.080767056,1.0725171180000004,-0.0690215799999998,1.1256942400000014
ro_dddd_1,DDDD,2,replay,48.153284174,43.503289537,4.649994636999999,-0.11439217099999999,4.757067526
ro_dddd_1,DDDD,3,small,93.046065521,19.862760401,73.18330512,-0.1238477389999999,73.30844503700001
ro_dddd_1,DDDD,3,large,93.046065521,126.506395659,-33.460330138,-0.3150918420000002,-33.12630353899999
ro_dddd_1,DDDD,3,replay,93.046065521,128.450674151,-35.404608629999984,-0.285237897,-35.022719120999994
ro_dddd_2,DDDD,1,small,106.258105133,21.955303906,84.302801227,0.33707880999999995,83.957419429
ro_dddd_2,DDDD,1,large,106.258105133,120.213921192,-13.955816059,0.6751667480000001,-14.645601197000005
ro_dddd_2,DDDD,1,replay,106.258105133,75.161844266,31.096260866999998,0.485488653,30.607424164999998
ro_dddd_2,DDDD,2,small,48.166523443,21.470930158,26.695593285,-0.3477182969999997,27.021115950000002
ro_dddd_2,DDDD,2,large,48.166523443,48.053508885,0.11301455800000326,0.23565477900000031,-0.19416493800000012
ro_dddd_2,DDDD,2,replay,48.166523443,39.281471302,8.885052141000003,-0.24584734699999977,9.085876589000002
ro_dddd_2,DDDD,3,small,111.043044727,22.410371301,88.632673426,-0.11192721100000025,88.713278276
ro_dddd_2,DDDD,3,large,111.043044727,94.789754827,16.2532899,-1.3821263240000001,17.616027662999997
