sequence_id,pattern,repetition,id,index,comparator,adaptive_status,comparator_status,adaptive_actual_model,comparator_actual_model,identical_actual_model,adaptive_residency_condition,comparator_residency_condition,adaptive_minus_comparator_seconds,output_tokens_difference,gpu_allocation_fraction_difference,adaptive_correct,comparator_correct,quality_outcome,adaptive_minus_comparator_excluding_residency_audit_seconds
ro_dddd_1,DDDD,1,ro_dddd_1_t1,1,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,cold_start,cold_start,32.055534852,13,-0.337557996384212,True,False,adaptive_only_correct,32.053439765
ro_dddd_1,DDDD,1,ro_dddd_1_t1,1,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,cold_start,cold_start,-11.516019735,0,0.023950998151182512,True,True,both_correct,-11.516700295
ro_dddd_1,DDDD,1,ro_dddd_1_t1,1,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,cold_start,cold_start,-21.072783293,0,0.023950998151182512,True,True,both_correct,-21.074288024
ro_dddd_1,DDDD,1,ro_dddd_1_t2,2,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,37.640877267,45,-0.337557996384212,True,True,both_correct,37.64112059
ro_dddd_1,DDDD,1,ro_dddd_1_t2,2,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,19.562139603000002,0,0.023950998151182512,True,True,both_correct,19.562647416
ro_dddd_1,DDDD,1,ro_dddd_1_t2,2,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,9.675560799000003,0,0.023950998151182512,True,True,both_correct,9.667806628000003
ro_dddd_1,DDDD,1,ro_dddd_1_t3,3,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,14.070571260999998,3,-0.337557996384212,False,True,comparator_only_correct,14.071225916999998
ro_dddd_1,DDDD,1,ro_dddd_1_t3,3,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,-2.6202411330000004,0,0.023950998151182512,False,True,comparator_only_correct,-2.618159562
ro_dddd_1,DDDD,1,ro_dddd_1_t3,3,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,-3.458528526000002,0,0.023950998151182512,False,True,comparator_only_correct,-3.466011173000002
ro_dddd_1,DDDD,1,ro_dddd_1_t4,4,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,22.555705838999998,-7,-0.337557996384212,True,False,adaptive_only_correct,22.559800179999996
ro_dddd_1,DDDD,1,ro_dddd_1_t4,4,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,5.440995076999997,0,0.023950998151182512,True,True,both_correct,5.4431644579999965
