arm,grouping,condition,n,total,mean,median,p95,min,max,output_tokens_mean
adaptive,residency_condition,cold_start,36,903.55980888,25.09888358,20.7683801295,46.80107547325,10.432349583,51.885885157,49.064516129032256
adaptive,residency_condition,model_switch,18,471.702745015,26.20570805638889,22.963508830000002,49.1027300348,12.14398132,51.148697606,39.22222222222222
adaptive,residency_condition,resident_same_model,90,879.164630171,9.76849589078889,6.868843602,25.4847430667,1.185222035,40.074960117,40.88505747126437
large,residency_condition,cold_start,36,1410.741859754,39.18727388205556,36.811515158999995,60.54163663125,26.845147735,64.068714559,57.294117647058826
large,residency_condition,resident_same_model,108,1313.1105360669999,12.15843088950926,10.4616824695,26.50437502525,3.330280924,36.073090316,39.714285714285715
replay,residency_condition,cold_start,36,896.278180315,24.89661611986111,18.774664714,55.31371666425,10.297521694,66.8765944,53.61290322580645
replay,residency_condition,model_switch,18,411.85960277099997,22.881089042833334,19.685760649499997,38.948312859199994,10.047544959,42.111060492,39.44444444444444
replay,residency_condition,resident_same_model,90,655.473050993,7.283033899922223,4.881970470000001,22.26447464525,0.612445311,30.399399318,42.13793103448276
small,residency_condition,cold_start,36,411.103506921,11.419541858916666,11.3483556385,12.748759755750001,10.176741946,13.282261808,50
small,residency_condition,resident_same_model,108,205.088845566,1.8989707922777779,1.858228845,2.84407651505,1.017592852,3.329436228,41.31428571428572
adaptive,following_turn_of_transition,None,36,903.55980888,25.09888358,20.7683801295,46.80107547325,10.432349583,51.885885157,49.064516129032256
adaptive,following_turn_of_transition,cold_start,36,633.056859487,17.58491276352778,15.444546529,44.905632572,1.632175282,51.148697606,50.80555555555556
adaptive,following_turn_of_transition,model_switch,9,84.831434148,9.425714905333333,7.048580157,20.020628095999996,2.923835217,26.139366548,45.77777777777778
adaptive,following_turn_of_transition,resident_same_model,63,632.979081551,10.047287008746032,9.424343849,24.616255770099997,1.185222035,33.134152291,33.7
large,following_turn_of_transition,None,36,1410.741859754,39.18727388205556,36.811515158999995,60.54163663125,26.845147735,64.068714559,57.294117647058826
large,following_turn_of_transition,cold_start,36,466.773643427,12.965934539638889,11.118767757499999,27.280842852,4.202341858,36.073090316,50.55555555555556
large,following_turn_of_transition,resident_same_model,72,846.33689264,11.754679064444444,9.965647887500001,25.234598302150008,3.330280924,31.670474041,34.05797101449275
replay,following_turn_of_transition,None,36,896.278180315,24.89661611986111,18.774664714,55.31371666425,10.297521694,66.8765944,53.61290322580645
replay,following_turn_of_transition,cold_start,36,545.555676909,15.154324358583333,8.2688012885,38.38776341075,0.960884024,42.111060492,53.083333333333336
replay,following_turn_of_transition,model_switch,9,82.199433969,9.133270441,9.092976243,14.516071345999999,4.556895044,16.311104988,44.333333333333336
replay,following_turn_of_transition,resident_same_model,63,439.577542886,6.977421315650794,4.42984488,20.0496540086,0.612445311,25.451774252,34.43333333333333
small,following_turn_of_transition,None,36,411.103506921,11.419541858916666,11.3483556385,12.748759755750001,10.176741946,13.282261808,50
small,following_turn_of_transition,cold_start,36,76.521033088,2.1255842524444444,2.08002725,2.7980995765000003,1.017592852,2.939278068,48.27272727272727
small,following_turn_of_transition,resident_same_model,72,128.567812478,1.7856640621944444,1.6440546595,2.8636427361000005,1.074533454,3.329436228,38.125
adaptive,return_to_small,False,135,2119.381157196,15.699119682933333,11.23373683,43.2335417914,1.185222035,51.885885157,43.89763779527559
adaptive,return_to_small,True,9,135.04602687,15.005114096666667,13.881250663,17.5326882596,12.14398132,17.656547316,23.22222222222222
large,return_to_small,False,144,2723.852395821,18.915641637645834,13.712621728,47.285532201549984,3.330280924,64.068714559,44.014388489208635
replay,return_to_small,False,135,1868.615818567,13.841598656051852,10.361008295,38.6361840464,0.612445311,66.8765944,45.89763779527559
replay,return_to_small,True,9,94.995015512,10.555001723555556,10.740393104,10.8748599288,10.047544959,10.882125912,23.22222222222222
small,return_to_small,False,144,616.192352487,4.2791135589375,2.0470828665000003,12.124696170199996,1.017592852,13.282261808,43.24444444444445
adaptive,following_small_return,False,144,2254.427184066,15.655744333791667,11.6115165845,43.004871098349994,1.185222035,51.885885157,42.529411764705884
large,following_small_return,False,144,2723.852395821,18.915641637645834,13.712621728,47.285532201549984,3.330280924,64.068714559,44.014388489208635
replay,following_small_return,False,144,1963.610834079,13.636186347770833,10.4595996065,38.445632997050005,0.612445311,66.8765944,44.39705882352941
small,following_small_return,False,144,616.192352487,4.2791135589375,2.0470828665000003,12.124696170199996,1.017592852,13.282261808,43.24444444444445
