attempt_directory,sequence_id,pattern,arm,repetition,id,index,status,wall_seconds,workload_label,actual_generator,selected_model_size,model_size_decision_source,memory_decision_source,residency_before,residency_after,residency_condition,previous_actual_generator,following_turn_of_transition,following_small_return,return_to_small,output_tokens,prompt_tokens,model_digest,loaded_bytes,gpu_allocated_bytes,gpu_allocation_fraction,context_length,routing_inclusive_seconds,deterministic_routing_inclusive_seconds,memory_classifier_inclusive_seconds,compute_classifier_inclusive_seconds,model_transition_inclusive_seconds,unload_request_inclusive_seconds,eviction_verification_inclusive_seconds,memory_classifier_calls,compute_classifier_calls,generation_calls,unaccounted_seconds,other_instrumented_seconds,deterministic_routing_and_bookkeeping_seconds,memory_classifier_seconds,eviction_seconds,residency_audit_seconds,answer_generation_seconds,validation_seconds,retrieval_seconds
ro_eeee_1_r1_adaptive,ro_eeee_1,EEEE,adaptive,1,ro_eeee_1_t1,1,ok,11.732018023,E,qwen3:0.6b,small,lightweight_small,resident_model,[],"[""qwen3:0.6b""]",cold_start,,,False,False,37,342,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,10.393335798,0.016003475,10.359175058,0.0,0.045953055,0.015274762,0.008402607,1,0,1,0.004618621,0.022617711,0.03416074,10.328656925,0.023677369,0.014992041,1.298428759,0.004865857,
ro_eeee_1_r1_adaptive,ro_eeee_1,EEEE,adaptive,1,ro_eeee_1_t2,2,ok,1.713651731,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,32,385,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.58966719,0.00941443,0.562161926,0.0,0.010892626,0.0,0.0,1,0,1,0.006379958,0.021344543,0.027505264,0.555619919,,0.017788718,1.079968781,0.005044548,
ro_eeee_1_r1_adaptive,ro_eeee_1,EEEE,adaptive,1,ro_eeee_1_t3,3,ok,1.669972761,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,33,429,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.537005671,0.00879215,0.508830477,0.0,0.01344626,0.0,0.0,1,0,1,0.004063414,0.022203691,0.028175194,0.499215596,,0.018705563,1.092010316,0.005598987,
ro_eeee_1_r1_adaptive,ro_eeee_1,EEEE,adaptive,1,ro_eeee_1_t4,4,ok,1.778011064,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,33,474,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.565829274,0.011113398,0.531070631,0.0,0.013166897,0.0,0.0,1,0,1,0.004456349,0.032960379,0.034758643,0.522403634,,0.016523839,1.160530502,0.006377718,
ro_eeee_1_r1_large,ro_eeee_1,EEEE,large,1,ro_eeee_1_t1,1,ok,51.157983641,E,qwen3:1.7b,large,fixed_generator,fixed_model,[],"[""qwen3:1.7b""]",cold_start,,,False,False,28,314,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658815773,814261207,0.4908689803011657,2048,34.40377178,0.011905042,34.376479899,0.0,0.01405166,0.0,0.0,1,0,1,0.005920095,0.032387407,0.027291881,34.368198149,,0.015503011,16.702441751,0.006241347,
ro_eeee_1_r1_large,ro_eeee_1,EEEE,large,1,ro_eeee_1_t2,2,ok,17.624988892,E,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,23,349,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658815773,814261207,0.4908689803011657,2048,8.700371825,0.006804329,8.671726492,0.0,0.010248558,0.0,0.0,1,0,1,0.005210362,0.027185451,0.028645333,8.664239883,,0.014441438,8.880592133,0.004674292,
ro_eeee_1_r1_large,ro_eeee_1,EEEE,large,1,ro_eeee_1_t3,3,ok,20.737473078,E,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,25,383,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658815773,814261207,0.4908689803011657,2048,6.094741892,0.005256731,6.069193928,0.0,0.01478087,0.0,0.0,1,0,1,0.005740803,0.024890106,0.025547964,6.058910453,,0.019300795,14.596750852,0.006332105,
ro_eeee_1_r1_large,ro_eeee_1,EEEE,large,1,ro_eeee_1_t4,4,ok,24.264969691,E,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,22,420,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658815773,814261207,0.4908689803011657,2048,11.162410962,0.006396905,11.138823586,0.0,0.011273412,0.0,0.0,1,0,1,0.005439712,0.02441981,0.023587376,11.13088618,,0.017955511,13.052466451,0.010214651,
ro_eeee_1_r1_replay,ro_eeee_1,EEEE,replay,1,ro_eeee_1_t1,1,ok,10.297521694,E,qwen3:0.6b,small,lightweight_small,resident_model,[],"[""qwen3:0.6b""]",cold_start,,,False,False,37,342,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.013831876,0.0,0.0,0.0,0.04235036,0.015845345,0.009621928,0,0,1,0.004518913,0.022477471,0.013831876,,0.025467273,0.007198823,10.218253527,0.005773811,
ro_eeee_1_r1_replay,ro_eeee_1,EEEE,replay,1,ro_eeee_1_t2,2,ok,1.070837413,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,32,385,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.014328429,0.0,0.0,0.0,0.004963431,0.0,0.0,0,0,1,0.006252345,0.019964894,0.014328429,,,0.008613436,1.015738479,0.00593983,
